name,logAge,logMass
Collinder_223,8.2,2.9019999999999997
DBSB_89,6.0,1.2041199826559248
Feinstein_1,7.2,3.611
Hogg_14,8.1,1.4393326938302626
Loden_821,7.455,3.968
Loden_1095,8.55,1.6232492903979006
Loden_1194,8.705,1.3319999999999999
Loden_1225,8.67,2.787
ESO_130-13,8.445,2.1687920203141817
Pismis_21,8.11,1.8228216453031045
NGC_5606,7.35,3.634
FSR_1698,8.56,1.6812412373755872
DBSB_51,7.0,1.2787536009528289
NGC_5381,8.65,2.247973266361807
NGC_4852,8.635,2.718
vdBergh-Hagen_155,8.44,1.916453948549925
Teutsch_106,8.78,1.2041199826559248
ESO_130-08,9.01,1.93
SAI_113,8.96,1.591064607026499
Ruprecht_113,8.345,3.187
FSR_1689,9.275,1.6232492903979006
Turner_6,6.6,1.3117538610557542
ASCC_53,8.0,4.168
Teutsch_31,8.78,1.3891660843645324
Ruprecht_86,8.8,1.4393326938302626
Loden_1152,8.065,2.1383026981662816
FSR_1479,9.2,1.3010299956639813
ESO_130-06,7.3,3.215
DBSB_43,6.0,1.3117538610557542
Loden_915,8.445,1.574
FSR_1700,8.905,1.5440680443502757
Platais_10,8.34,3.1689999999999996
Trumpler_17,7.775,2.775
NGC_5284,7.0,1.863322860120456
FSR_1470,8.63,1.414973347970818
FSR_1535,8.865,1.6532125137753437
DC_5,6.05,1.6434526764861874
Platais_8,7.75,3.0810000000000004
ESO_134-12,8.9,1.6901960800285136
vdBergh-Hagen_99,8.0,1.984
Loden_1282,8.15,1.8836614351536176
Bochum_10,6.93,3.345
Loden_280,8.91,0.9030899869919435
Pismis_20,7.5,1.5797835966168101
Hogg_9,7.9,1.021189299069938
Basel_17,7.975,2.065
NGC_5138,7.55,3.28
Ruprecht_167,7.245,3.325
FSR_1651,9.4,2.0530784434834195
DBSB_64,6.2,1.7032913781186614
Stock_13,7.37,3.3
FSR_1713,9.3,1.3710678622717363
ASCC_74,8.63,1.483
Loden_143,8.45,2.595
Loden_2045,6.8,2.0644579892269186
Carraro_1,9.1,1.1613680022349748
NGC_3532,8.65,2.56
FSR_1657,9.0,1.8260748027008264
FSR_1682,9.16,2.2671717284030137
Loden_1202,8.645,1.6232492903979006
vdBergh-Hagen_91,8.35,1.6380000000000001
vdBergh-Hagen_118,9.045,1.3117538610557542
ESO_139-54,8.99,1.3324384599156054
FSR_1580,8.9,1.2787536009528289
ASCC_60,8.125,1.2890000000000001
Loden_372,8.32,1.742
Ruprecht_108,8.675,2.055
DBSB_139,7.5,1.3891660843645324
Ruprecht_103,9.11,1.5965970956264601
FSR_1625,8.875,1.816241299991783
Loden_480,8.7,2.166
Loden_1171,8.59,0.552
Lynga_3,8.915,1.8864907251724818
DBSB_140,7.3,1.4913616938342726
Loden_2158,8.5,1.8721562727482928
ESO_128-16,8.84,1.86
NGC_3293,6.75,2.28
vdBergh-Hagen_84,7.7,1.5854607295085006
ESO_129-19,9.0,1.3222192947339193
Loden_1378,8.84,2.041392685158225
ESO_139-13,8.78,1.4809999999999999
Ruprecht_89,8.98,1.232
Loden_2159,8.5,1.9242792860618816
Loden_153,6.3,3.181
Loden_28,7.405,4.415
FSR_1674,9.5,1.9867717342662448
NGC_4337,9.15,1.6857417386022637
vdBergh-Hagen_90,8.465,1.7283537820212285
DBSB_48,8.25,1.255272505103306
Collinder_220,8.57,1.9420080530223132
ESO_141-47,9.445,1.3010299956639813
Loden_1177,9.175,1.8948696567452525
ESO_131-09,8.9,1.7323937598229686
Loden_1289,8.6,1.9057958803678685
NGC_1252,9.5,1.1613680022349748
DBSB_40,7.985,0.6989700043360189
DBSB_92,7.4,1.6384892569546374
ASCC_59,8.46,2.1919999999999997
FSR_1696,8.61,1.7634279935629373
IC_2581,7.32,3.3310000000000004
Collinder_292,8.7,2.988
FSR_1583,8.6,1.5185139398778875
NGC_5715,8.97,1.7993405494535817
FSR_1524,8.75,1.6989700043360187
Trumpler_19,9.65,2.0211892990699383
MWSC_4349,8.805,1.6232492903979006
Ruprecht_91,8.405,1.82
NGC_6005,9.06,1.3521825181113625
FSR_1527,6.2,1.4065401804339552
FSR_1621,8.0,1.662757831681574
FSR_1530,8.8,1.3010299956639813
FSR_1620,9.185,1.5118833609788744
MWSC_4119,8.985,1.5965970956264601
FSR_1608,9.2,1.8095597146352678
FSR_1718,9.5,1.0969100130080565
ASCC_55,8.45,2.49
DBSB_125,8.38,1.3222192947339193
IC_2488,8.445,3.008
FSR_1701,8.4,1.3324384599156054
Turner_7,9.0,2.0433622780211294
ESO_175-06,8.6,1.2590000000000001
Ruprecht_114,8.9,1.4842998393467859
ASCC_61,7.665,3.8160000000000003
FSR_1569,9.2,1.1139433523068367
FSR_1602,9.1,1.5314789170422551
Loden_89,8.3,1.551
Loden_112,6.96,3.4560000000000004
DBSB_93,8.2,1.6020599913279623
Lynga_5,8.975,2.1492191126553797
FSR_1521,8.705,1.9294189257142926
Loden_27,6.6,1.6989700043360187
vdBergh-Hagen_78,8.6,1.290034611362518
FSR_1697,8.06,1.806179973983887
NGC_5999,8.6,1.3222192947339193
Basel_20,7.5,1.9319661147281726
Ruprecht_165,9.115,1.2430380486862944
NGC_3033,8.62,2.022
vdBergh-Hagen_92,8.91,1.9493900066449128
Loden_189,7.99,2.459
DBSB_141,6.0,1.414973347970818
FSR_1648,8.34,1.7442929831226763
Ruprecht_75,9.09,1.2304489213782739
Hogg_2,8.2,1.1903316981702914
vdBergh-Hagen_58,9.17,1.1139433523068367
FSR_1507,8.8,1.6020599913279623
FSR_1649,9.15,1.8260748027008264
FSR_1531,6.6,1.4548448600085102
FSR_1610,9.3,1.7781512503836436
FSR_1688,8.455,1.5622928644564746
ESO_165-09,8.915,0.693
Schuster_1,6.8,1.2671717284030137
Loden_1,8.3,0.823
FSR_1513,8.92,2.062581984228163
NGC_3960,9.11,1.816241299991783
NGC_5823,8.96,2.036
ASCC_66,7.76,2.864
vdBergh-Hagen_87,7.3,1.921686475483602
Saurer_3,9.3,1.4548448600085102
Lynga_4,8.55,2.2135177569963047
FSR_1536,9.1,1.591064607026499
Ruprecht_77,7.95,1.146128035678238
NGC_4230,8.945,1.2174839442139063
FSR_1509,8.85,1.7201593034059568
Ruprecht_85,8.7,2.0469999999999997
FSR_1703,8.55,1.4842998393467859
ASCC_58,7.2,2.521
Loden_46,8.0,2.1
FSR_1517,8.81,1.662757831681574
NGC_5593,8.77,1.5590000000000002
NGC_3105,7.4,1.4065401804339552
vdBergh-Hagen_66,8.87,4.618
vdBergh-Hagen_75,8.85,1.8228216453031045
Hogg_4,8.3,1.4771212547196624
Ruprecht_83,6.4,1.9867717342662448
Loden_2115,8.96,2.325310371711061
NGC_5925,8.25,1.8543060418010806
FSR_1518,7.6,1.591064607026499
NGC_5749,8.0,1.319
Teutsch_44,9.15,1.6232492903979006
ASCC_54,8.865,2.736
NGC_5822,8.84,3.247
FSR_1709,8.5,1.8027737252919758
vdBergh-Hagen_106,9.265,1.5314789170422551
ASCC_52,7.95,3.332
NGC_6067,7.97,2.8739999999999997
FSR_1646,9.35,1.7888751157754168
Moffat_1,6.8,1.6384892569546374
NGC_3330,8.565,1.911
Loden_59,8.3,1.5119999999999998
NGC_6031,8.195,1.863322860120456
Ruprecht_82,8.37,2.891
DBSB_94,8.22,1.255272505103306
FSR_1500,8.58,1.3617278360175928
FSR_1440,8.76,1.6580113966571124
ESO_166-04,8.26,1.778
ESO_168-04,9.315,1.5563025007672873
MWSC_5701,8.75,1.423245873936808
Ruprecht_79,7.265,3.6719999999999997
FSR_1561,9.115,1.6857417386022637
FSR_1716,9.225,1.7958800173440752
NGC_6208,9.28,1.149
Ruprecht_78,7.25,3.037
FSR_1690,9.135,1.7596678446896306
MWSC_4410,8.9,1.9822712330395684
Harvard_9,8.25,1.8836614351536176
Trumpler_23,8.96,1.7781512503836436
FSR_1556,8.9,1.3521825181113625
NGC_2925,7.805,2.354
vdBergh-Hagen_79,8.4,2.070037866607755
FSR_1652,9.1,1.841984804590114
Miller_1,6.6,1.0413926851582251
Pismis_16,7.1,2.042
DBSB_39,7.4,1.255272505103306
FSR_1729,9.38,1.591064607026499
vdBergh-Hagen_72,8.7,1.591064607026499
IC_2391,8.05,1.9669999999999999
ASCC_42,8.15,2.786
NGC_2669,8.405,2.615
SAI_108,8.755,1.6946051989335686
NGC_2910,7.2,2.687
Teutsch_48,8.975,1.5250448070368452
ASCC_83,8.1,1.6880000000000002
Pismis_14,8.355,1.7558748556724915
FSR_1478,8.61,1.6384892569546374
NGC_6253,9.7,2.1055101847699738
NGC_5764,8.475,2.0170333392987803
NGC_6152,8.63,3.049
FSR_1712,8.6,2.184691430817599
Loden_2326,8.83,1.8228216453031045
Loden_2313,8.29,2.825
Ruprecht_115,9.135,1.6483600109809315
Johansson_1,8.725,2.6641717053619307
Teutsch_66,8.19,1.3979400086720377
Hogg_18,7.95,2.2319999999999998
FSR_1560,9.135,1.6434526764861874
FSR_1496,9.35,1.4471580313422192
ESO_211-01,8.76,1.568201724066995
DBSB_156,7.3,1.5797835966168101
Ruprecht_116,8.95,1.364
FSR_1485,8.88,1.7283537820212285
Ruprecht_118,8.94,1.5378190950732742
Lynga_6,7.45,1.9294189257142926
NGC_5800,9.25,1.99563519459755
Ruprecht_117,8.95,1.0969100130080565
Pismis_22,8.2,1.3979400086720377
ESO_236-07,9.75,1.3979400086720377
DBSB_157,7.95,1.3424226808222062
MWSC_4429,9.045,2.197280558125619
NGC_3228,8.42,0.8320000000000001
ESO_229-02,9.7,1.6580113966571124
Ruprecht_76,8.15,1.8325089127062364
vdBergh-Hagen_88,9.1,1.8260748027008264
FSR_1740,9.4,1.8573324964312685
DBSB_158,8.705,1.8293037728310249
Ruprecht_119,8.435,1.726
ESO_231-30,9.5,1.5118833609788744
DBSB_144,6.0,1.4842998393467859
FSR_1604,9.6,1.8356905714924256
Ruprecht_176,8.76,1.1760912590556813
vdBergh-Hagen_67,8.835,2.0530784434834195
MWSC_5670,8.95,1.414973347970818
FSR_1489,9.015,1.7160033436347992
ESO_226-06,8.475,1.5622928644564746
NGC_2866,7.95,1.662757831681574
FSR_1447,9.1,1.290034611362518
ASCC_81,8.75,2.269
Collinder_307,7.25,2.037426497940624
FSR_1446,9.1,1.3891660843645324
Mamajek_4,8.815,1.792391689498254
Collinder_213,8.87,2.227
Ruprecht_73,8.88,1.3324384599156054
DBSB_100,8.55,1.3424226808222062
DBSB_161,6.0,1.5563025007672873
SAI_109,9.0,1.3979400086720377
Lynga_12,9.25,2.070037866607755
DBSB_159,6.62,1.7442929831226763
Ruprecht_87,8.985,1.2041199826559248
DBSB_162,6.3,1.3324384599156054
FSR_1484,8.645,1.8129133566428555
FSR_1673,9.5,1.2787536009528289
FSR_1714,8.5,2.265996370495079
ASCC_44,7.9,3.3710000000000004
Hogg_1,8.635,1.462397997898956
DBSB_99,7.7,1.6434526764861874
NGC_2972,8.73,1.667452952889954
DBSB_163,8.32,1.6766936096248666
ESO_211-09,8.7,1.423245873936808
FSR_1498,6.0,1.505149978319906
ESO_211-03,9.035,1.9030899869919435
Lynga_8,9.29,1.3710678622717363
vdBergh-Hagen_73,8.9,1.7781512503836436
FSR_1715,8.485,1.5740312677277188
DBSB_164,7.3,1.255272505103306
FSR_1725,8.0,1.8356905714924256
SAI_91,8.83,1.4393326938302626
Pismis_11,6.0,1.2787536009528289
DBSB_166,6.2,1.4471580313422192
IC_4651,9.25,2.085
MWSC_4545,9.31,1.6384892569546374
DBSB_102,6.1,1.3424226808222062
NGC_6167,8.19,2.582
FSR_1676,9.45,1.7781512503836436
FSR_1727,8.87,1.724275869600789
FSR_1474,7.525,1.3424226808222062
DBSB_170,8.0,0.9294189257142927
vdBergh-Hagen_85,8.8,1.4913616938342726
DBSB_167,6.2,1.255272505103306
FSR_1719,9.4,1.7958800173440752
FSR_1732,9.3,1.9493900066449128
vdBergh-Hagen_63,8.775,1.5185139398778875
NGC_2547,7.89,1.6280000000000001
FSR_1695,9.38,1.4771212547196624
NGC_6134,9.015,1.389
Hogg_19,9.015,1.9084850188786497
Collinder_205,7.03,2.432
Pismis_23,8.565,1.3117538610557542
NGC_2670,8.14,1.636
NGC_6193,6.7,2.772
Lynga_9,8.82,1.7403626894942439
FSR_1454,8.9,1.4471580313422192
FSR_1609,9.35,1.414973347970818
ASCC_46,7.8,3.1289999999999996
Ruprecht_120,8.45,1.5740312677277188
Ruprecht_63,8.9,1.5378190950732742
NGC_3909,9.515,1.711807229041191
IC_2395,7.27,2.503
Harvard_13,9.285,1.6232492903979006
FSR_1468,8.3,1.5965970956264601
Pismis_15,9.095,1.8893017025063104
DBSB_36,7.5,0.9542425094393249
FSR_1452,9.05,1.5563025007672873
FSR_1400,9.035,1.380211241711606
FSR_1460,8.835,2.1020905255118367
DBSB_34,8.15,0.9030899869919435
FSR_1419,8.375,1.1760912590556813
Hogg_21,7.45,1.6020599913279623
Muzzio_1,6.5,1.7442929831226763
ESO_260-06,8.1,1.423245873936808
Melotte_66,9.365,1.9890046156985368
Hogg_20,7.45,1.5440680443502757
Ruprecht_69,9.0,1.5118833609788744
DBSB_35,6.8,1.2430380486862944
NGC_6200,7.0,3.281
FSR_1443,8.77,1.9845273133437926
FSR_1471,8.82,1.7481880270062005
Patchick_94,6.55,1.4771212547196624
DBSB_169,7.75,0.9030899869919435
Ruprecht_60,8.6,1.3324384599156054
NGC_2660,9.1,1.5118833609788744
Alessi_9,8.55,2.281
FSR_1739,7.7,1.7442929831226763
FSR_1441,8.73,1.667452952889954
Hogg_22,6.8,1.925
DBSB_171,7.71,0.8450980400142568
ESO_261-03,8.615,1.9800033715837464
ESO_260-07,9.375,1.6580113966571124
Ruprecht_160,8.62,1.5563025007672873
NGC_6204,8.0,1.459
FSR_1491,9.005,1.4913616938342726
Ruprecht_71,8.84,2.011
NGC_2932,8.85,1.6766936096248666
ESO_258-01,8.705,1.0791812460476249
Alessi_3,8.87,1.57
Teutsch_103,8.975,1.6020599913279623
FSR_1613,9.49,1.6901960800285136
MWSC_4498,9.36,1.5563025007672873
FSR_1450,8.4,1.816241299991783
Lynga_11,6.0,1.2041199826559248
SAI_94,9.09,1.3710678622717363
MWSC_5705,8.95,1.4313637641589874
Pismis_8,7.43,1.7853298350107671
Pismis_6,7.58,2.8139999999999996
Ruprecht_121,8.425,2.0681858617461617
Waterloo_6,9.085,0.9030899869919435
ESO_260-17,8.99,1.6020599913279623
FSR_1429,8.2,1.2671717284030137
FSR_1723,8.77,1.9590413923210936
Bochum_7,7.5,4.928999999999999
FSR_1573,9.3,1.568201724066995
ESO_245-09,9.055,1.4065401804339552
DBSB_108,7.6,1.021189299069938
vdBergh-Hagen_197,8.94,1.2304489213782739
FSR_1464,8.495,1.6483600109809315
FSR_1574,9.25,1.667452952889954
NGC_6178,7.51,2.136
FSR_1705,9.4,1.2041199826559248
ASCC_85,7.5,2.7510000000000003
FSR_1434,9.035,2.173186268412274
Ruprecht_156,9.31,1.414973347970818
DBSB_174,7.4,1.1139433523068367
ESO_265-01,9.35,1.3117538610557542
DBSB_106,6.4,1.3979400086720377
FSR_1757,8.66,1.4548448600085102
ESO_252-14,8.655,0.9030899869919435
Lynga_14,7.75,1.724275869600789
Moitinho_1,8.635,1.0606978403536116
NGC_3446,9.105,1.8388490907372552
Pismis_12,9.205,1.711807229041191
NGC_2659,7.36,2.112
MWSC_4178,9.3,1.6720978579357175
NGC_6249,8.09,2.439
NGC_6222,6.6,2.0530784434834195
FSR_1415,9.25,1.380211241711606
NGC_6216,6.7,2.1702617153949575
NGC_2220,8.56,1.130333768495006
NGC_6259,8.475,2.103803720955957
FSR_1377,8.845,1.2041199826559248
ESO_261-07,9.0,1.5440680443502757
vdBergh-Hagen_34,8.48,2.365
Ruprecht_154,7.15,1.2671717284030137
vdBergh-Hagen_54,7.5,1.8388490907372552
FSR_1543,9.4,1.5797835966168101
FSR_1430,8.5,1.6232492903979006
vdBergh-Hagen_200,7.5,1.7634279935629373
ESO_281-24,8.945,1.3424226808222062
FSR_1432,8.1,1.5250448070368452
FSR_1412,7.05,1.5797835966168101
Ruprecht_81,8.98,1.4548448600085102
Ruprecht_65,8.82,1.7730000000000001
FSR_1699,9.6,1.7481880270062005
