#Diameters of Open Star Clusters
#
#van den Bergh S., 2006, Astron. J. 131, 1559 (2006AJ....131.1559V)
#
#Column contents:
#
#Name : cluster designation
#diameter : Cluster diameter in [pc]
#dist : Distance in [pc]
#Z : Distance from the galactic plane in [pc]
#EBV : Colour exces E(B-V) -- NOTE: some are missing this column, and not well separated below
#logt : logarithm of the age
#
#Name	diameter	dist	Z	EBV	logt
#
Ruprecht_32	7.78	5346	-53	0.50	7.08
Ruprecht_36	2.44	1681	-10	0.17	7.61
Ruprecht_44	13.76	4730	40	0.62	6.94
Ruprecht_46	0.66	752	77	0.07	9.60
Ruprecht_47	3.50	3006	-10	0.28	7.89
Ruprecht_49	1.06	1823	72	0.26	7.93
Ruprecht_55	7.12	4892	69	0.56	6.85
Ruprecht_59	0.76	874	14	0.09	7.73
Ruprecht_67	2.62	1504	-21	0.43	8.26
Ruprecht_72	2.63	3019	230	0.24	9.10
Ruprecht_76	1.84	1262	-21	0.38	7.73
Ruprecht_77	6.01	4129	-225	0.62	7.50
Ruprecht_78	1.43	1641	-54	0.35	7.99
Ruprecht_79	2.88	1979	-25	0.72	7.09
Ruprecht_82	3.57	2455	-20	0.29	8.50
Ruprecht_83	2.15	2459	-26	0.45	8.45
Ruprecht_92	4.81	2362	-82	0.46	7.80
Ruprecht_93	2.93	1437	-28	0.23	8.19
Ruprecht_97	1.97	1357	-12	0.23	8.34
Ruprecht_98	2.01	494	-20	0.16	8.51
Ruprecht_107	1.26	1442	-56	0.46	7.48
Ruprecht_108	2.62	901	63	0.14	8.42
Ruprecht_115	3.14	2160	-32	0.65	8.78
Ruprecht_118	1.17	1343	-42	0.41	8.11
Ruprecht_119	2.22	956	-31	0.57	6.85
Ruprecht_120	1.75	2000	-17	0.70	8.18
Ruprecht_127	2.13	1466	-64	0.99	7.35
Ruprecht_130	1.83	2100	-35	1.20	7.70
Ruprecht_147	1.27	174	-39	0.15	
Ruprecht_148	3.52	3028	-21	0.70	7.72
Ruprecht_158	2.42	4168	323	0.24	9.20
Saurer_1	13.93	11970	1425	0.12	9.85
Saurer_2	5.47	4700	-82	1.24	9.40
Saurer_3	6.16	8830	462	0.62	9.45
Saurer_4	3.24	6190	-112	1.24	9.18
Saurer_6	4.89	9330	511	0.77	9.29
Sher_1	1.71	5875	-25	1.37	6.71
Stephenson_1	2.27	390	104	0.04	7.73
Stock_1	7.45	320	13	0.15	
Stock_2	3.97	303	-10	0.38	8.23
Stock_7	1.02	698	0	0.61	7.21
Stock_8	7.42	1821	-9	0.44	7.06
Stock_10	2.76	380	24	0.06	8.35
Stock_13	2.29	1577	44	0.22	7.22
Stock_14	3.75	2146	-25	0.22	7.06
Stock_16	1.43	1640	2	0.49	6.92
Stock_17	0.62	2144	10	0.74	6.78
Stock_24	4.10	2818	-44	0.50	8.08
Tombaugh_1	4.36	3000	-382	0.40	9.00
Tombaugh_2	11.57	13260	-1588	0.08	9.01
Trumpler_1	2.24	2563	-51	0.58	7.48
Trumpler_2	3.22	651	-44	0.32	8.17
Trumpler_5	12.22	3000	55	0.58	9.61
Trumpler_7	2.14	1474	-86	0.27	7.43
Trumpler_9	3.33	2289	51	0.25	8.00
Trumpler_10	3.58	424	5	0.03	7.54
Trumpler_11	4.51	3100	-263	0.21	
Trumpler_14	3.97	2733	-28	0.52	6.83
Trumpler_15	7.55	1853	-12	0.43	6.93
Trumpler_16	7.78	2673	-31	0.49	6.79
Trumpler_17	3.18	2189	17	0.60	7.71
Trumpler_18	1.98	1358	-3	0.32	7.19
Trumpler_21	1.84	1263	-7	0.20	7.70
Trumpler_22	4.41	1516	-15	0.52	7.95
Trumpler_24	19.86	1138	30	0.42	6.92
Trumpler_27	2.11	1211	-16	1.19	7.06
Trumpler_28	1.95	1343	-7	0.73	7.29
Trumpler_31	1.43	986	-39	0.35	8.87
Trumpler_32	2.50	1720	39	0.64	8.48
Trumpler_33	2.55	1755	-99	0.36	7.68
Trumpler_35	1.75	1206	0	1.22	7.86
Trumpler_37	21.61	835	54	0.47	7.05
Turner_1	1.95	1675	21	0.48	7.46
Waterloo_1	6.40	4400	137	0.90	
Waterloo_2	0.66	570	31	0.17	
Waterloo_3	3.03	5200	131	0.34	
Waterloo_6	0.92	1578	-73	0.24	7.67
Waterloo_7	2.12	2800	30	0.42	
Westerlund_1	4.54	5200	-50	3.00	
Westerlund_2	1.09	1874	-11	0.78	7.22
