#Diameters of Open Star Clusters
#
#van den Bergh S., 2006, Astron. J. 131, 1559 (2006AJ....131.1559V)
#
#Column contents:
#
#Name : cluster designation
#diameter : Cluster diameter in [pc]
#dist : Distance in [pc]
#Z : Distance from the galactic plane in [pc]
#EBV : Colour exces E(B-V) -- NOTE: some are missing this column, and not well separated below
#logt : logarithm of the age
#
#Name	diameter	dist	Z	EBV	logt
#
Colliner_463	5.92	702	117	0.26	8.37
Colliner_469	1.29	1481	-20	0.42	7.80
Czernik_8	0.82	1409	-39	0.80	7.90
Czernik_13	4.61	3961	160	0.76	6.85
Czernik_20	3.92	3370	78	0.42	7.17
Czernik_29	6.06	4168	68	0.48	8.30
Dolidze_25	36.67	6304	-140	0.72	6.84
Dolidze_42	1.98	972	18	0.57	7.54
Feinstein_1	8.43	1159	8	0.40	7.00
ESO092-SC18	15.43	10607	-1229	0.50	9.02
ESO093-SC08	3.99	13700	-965	0.64	9.65
Harvard_10	9.54	1312	-75	0.36	8.34
Harvard_20	3.14	1540	-125	0.25	7.48
Haffner_6	5.33	3054	14	0.45	8.83
Haffner_7	2.45	1687	-53	0.71	8.02
Haffner_8	1.72	1182	28	0.03	9.15
Haffner_10	4.58	5248	92	0.52	9.10
Haffner_15	1.81	2078	-151	1.14	7.17
Haffner_16	4.60	3165	26	0.18	7.08
Haffner_17	1.68	2880	-127	1.26	7.70
Haffner_18	3.51	6028	47	0.61	6.89
Haffner_19	2.96	5094	47	0.42	6.93
Haffner_20	2.72	3117	-51	0.57	8.12
Haffner_21	2.58	2951	84	0.11	7.92
Havlen-Moffat_1	4.22	2900	-39	1.85	
Hogg_10	1.55	1776	2	0.46	6.78
Hogg_11	1.32	2277	5	0.32	7.08
Hogg_14	0.85	969	49	0.23	8.10
Hogg_15	1.32	2262	-10	1.09	6.78
Hogg_16	2.77	1585	37	0.41	7.05
Hogg_17	1.52	1310	-21	0.59	8.03
Hogg_18	2.23	1535	172	0.50	7.76
Hogg_22	1.06	1216	-24	0.65	6.78
IC_166	8.08	3970	-13	1.05	8.63
IC_348	0.78	385	-117	0.93	7.64
IC_361	1.87	1070	106	1.12	7.72
IC_1311	7.76	5333	398	0.76	8.62
IC_1369	3.03	2083	-15	0.57	8.64
IC_1442	3.41	2346	-90	0.54	6.98
IC_1590	24.80	2940	-320	0.32	6.54
IC_1805	10.97	1886	30	0.82	6.82
IC_1848	10.48	2002	32	0.60	6.84
IC_2157	2.97	2040	45	0.55	7.80
IC_2391	3.05	175	-21	0.01	7.66
IC_2395	3.49	705	-44	0.07	7.22
IC_2488	5.94	1134	-87	0.23	8.11
IC_2581	3.56	2446	2	0.42	7.14
IC_2602	4.68	161	-14	0.02	7.51
IC_2714	5.04	1238	-39	0.34	8.54
IC_2944	18.26	1794	-52	0.32	6.82
IC_4651	2.58	888	-122	0.12	9.06
IC_4665	7.17	352	103	0.17	7.63
IC_4725	5.23	620	-48	0.48	7.96
IC_4756	5.49	484	44	0.19	8.70
IC_4996	3.02	1732	39	0.67	6.95
IC_5146	4.96	852	-82	0.59	8.02
King_2	8.36	5750	-470	0.31	9.78
King_4	4.61	3172	-66	0.86	7.60
King_5	2.76	1900	-142	9.00
King_6	2.53	871	-1	0.50	8.34
King_7	4.48	2200	-39	1.25	8.80
King_8	7.45	6403	346	0.58	8.62
King_10	3.93	3379	-23	1.14	7.45
King_11	4.21	2892	326	1.27	9.05
King_12	2.08	2378	-5	0.59	7.04
King_14	4.53	2593	17	0.41	7.92
King_15	2.76	3162	-51	0.70	8.40
King_19	2.86	1967	5	0.55	8.56
King_21	2.45	2103	25	0.89	7.16
Kharchenko_1	5.13	2520	95	
Loden_2326	0.42	900	31	0.41	8.30
Lynga_1	1.99	2283	-13	0.46	8.01
Lynga_2	2.91	1000	-8	0.20	8.12
Lynga_6	2.33	1600	9	1.25	7.43
Lynga_14	0.77	881	-17	1.43	6.71
Markarian_38	0.86	1471	-24	0.40	6.88
Markarian_50	1.23	2114	-8	0.81	7.10
Mamajek_1	1.13	97	-36	0.00	6.90
Melotte_20	16.12	185	-23	0.09	7.85
Melotte_22	5.23	150	-60	0.03	8.13
Melotte_25	4.31	45	-17	0.01	8.90
Melotte_66	17.56	4313	-1061	0.14	9.44
Melotte_71	6.42	3154	247	0.11	8.37
Melotte_101	8.70	1995	-193	0.48	7.89
Melotte_155	3.21	2208	-93	0.48	8.32
Melotte_111	3.35	96	95	0.01	8.65
Melotte_227	2.44	120	-61	0.04	8.57
Moffat_1	6.72	3300	-57	1.84	6.60
NGC_103	3.52	3026	-73	0.41	8.13
NGC_129	8.98	1625	-72	0.55	7.89
NGC_133	1.28	630	6	0.60	7.00
NGC_136	1.79	4093	-91	0.56	8.30
NGC_146	6.17	3032	27	0.48	7.82
NGC_188	10.12	2047	780	0.08	9.63
NGC_189	0.66	752	-23	0.42	7.00
NGC_225	2.29	657	-12	0.27	8.11
NGC_366	1.82	1785	-18	1.26	7.41
NGC_381	2.00	1148	-24	0.40	8.50
NGC_433	1.35	2323	-106	0.86	7.50
NGC_436	4.38	3014	-205	0.46	7.93
NGC_457	14.13	2429	-186	0.47	7.32
NGC_559	2.20	1258	16	0.79	7.75
NGC_581	3.19	2194	-69	0.38	7.34
NGC_609	3.47	3981	145	0.35	9.23
NGC_637	1.88	2160	65	0.63	6.98
NGC_654	2.97	2041	-13	0.87	7.15
NGC_659	2.82	1938	-53	0.65	7.55
NGC_663	7.95	1952	-32	0.78	7.21
NGC_744	1.76	1207	-130	0.38	8.25
NGC_752	9.97	457	-180	0.03	9.05
NGC_869	10.89	2079	-136	0.58	7.07
NGC_884	12.28	2345	-146	0.56	7.03
NGC_957	5.28	1815	-84	0.84	7.04
NGC_1027	4.49	772	21	0.32	8.20
NGC_1039	5.08	499	-134	0.07	8.25
NGC_1193	3.75	4300	-909	0.12	9.90
NGC_1220	2.09	1800	-124	0.70	7.78
NGC_1245	7.53	2876	-446	0.30	8.70
NGC_1252	2.61	640	-496	0.02	9.48
NGC_1342	2.90	665	-176	0.32	8.66
NGC_1444	1.40	1199	-27	0.71	7.96
NGC_1496	1.43	1230	4	0.45	8.80
NGC_1502	1.91	821	109	0.76	7.05
NGC_1513	3.84	1320	-36	0.67	8.11
NGC_1528	3.61	776	3	0.26	8.57
NGC_1545	3.72	711	2	0.30	8.45
NGC_1605	4.47	2552	-71	0.97	7.61
NGC_1647	6.28	540	-156	0.37	8.16
NGC_1662	2.54	437	-157	0.30	8.62
NGC_1664	3.14	1199	-9	0.25	8.46
NGC_1750	3.67	630	-117	0.34	8.30
NGC_1758	1.99	760	-138	0.34	8.60
NGC_1778	3.42	1469	-52	0.34	8.16
NGC_1817	9.18	1972	-447	0.33	8.61
NGC_1893	10.50	3280	-96	0.58	7.03
NGC_1901	1.81	415	-230	0.06	8.92
NGC_1907	3.17	1556	8	0.42	8.57
