COCD,Name,GLON[deg],GLAT[deg],DistMod,E(B-V),Dist[pc],logt[yr],rt[pc],e_rt[pc],logM[MSun],e_logM[MSun],rtA[pc],e_rtA[pc],logMA[MSun],e_logMA[MSun],Simbad_ID
42,Melotte_20,147.2,-6.33,6.672999999999999,0.09,190,7.55,35.0,2.4,4.186,0.09699999999999999,27.4,2.3,3.863,0.11599999999999999,Melotte_20
43,King_6,143.35,-0.08,10.064,0.58,450,8.41,,,,,2.0,0.5,0.46299999999999997,0.331,C_0324+562
44,Alessi_13,237.65,-55.71,5.331,0.04,110,8.72,10.9,1.9,2.68,0.228,10.4,2.8,2.62,0.35700000000000004,Alessi_13
45,NGC_1342,154.97,-15.38,10.106,0.32,665,8.21,7.4,1.6,2.122,0.285,7.8,1.8,2.186,0.303,NGC_1342
46,IC_348,160.49,-17.81,10.519,0.82,394,7.79,,,,,2.4,0.6,0.67,0.33799999999999997,IC_348
47,Melotte_22,166.63,-23.47,5.632000000000001,0.02,130,8.08,21.3,1.4,3.54,0.092,10.9,0.9,2.6719999999999997,0.11199999999999999,Melotte_22
48,Tombaugh_5,143.94,3.57,10.775,0.25,1000,8.73,,,,,8.1,2.3,2.211,0.376,C_0343+589
49,NGC_1502,143.67,7.65,11.587,0.65,821,6.8,,,,,6.4,1.1,1.911,0.235,NGC_1502
50,NGC_1528,152.05,0.25,10.193,0.24,776,8.43,12.8,4.1,2.8110000000000004,0.425,11.6,1.5,2.6839999999999997,0.175,NGC_1528
51,NGC_1545,153.36,0.18,10.189,0.3,711,8.15,6.5,1.0,1.946,0.20600000000000002,5.7,1.4,1.756,0.332,NGC_1545
52,NGC_1582,159.25,-3.02,9.573,0.22,600,8.6,10.9,1.7,2.6189999999999998,0.21100000000000002,9.3,1.9,2.412,0.267,NGC_1582
53,Platais_3,138.74,15.98,6.815,0.1,200,8.7,9.3,2.2,2.457,0.314,15.2,2.5,3.103,0.218,Platais_3
54,NGC_1647,180.33,-16.78,9.65,0.32,539,7.96,14.8,2.1,3.02,0.19399999999999998,10.2,1.3,2.543,0.16899999999999998,NGC_1647
55,Alessi_2,152.29,6.36,9.057,0.18,501,8.6,5.5,0.5,1.754,0.126,5.1,1.0,1.6540000000000001,0.265,Alessi_2
56,NGC_1662,187.68,-21.12,9.132,0.3,437,8.68,6.5,2.2,1.9569999999999999,0.44,6.3,0.9,1.92,0.184,NGC_1662
57,NGC_1664,161.69,-0.45,11.169,0.25,1199,8.72,13.2,2.1,2.806,0.20600000000000002,14.9,2.4,2.958,0.217,NGC_1664
58,Berkeley_14A,162.88,0.74,10.92,0.23,1100,6.97,31.4,3.0,3.9410000000000003,0.131,29.8,4.2,3.8739999999999997,0.19,Berkeley_14A
59,NGC_1708,155.74,6.85,9.883,0.32,600,8.76,7.0,1.2,2.05,0.22699999999999998,5.4,1.2,1.703,0.29100000000000004,NGC_1708
60,NGC_1746,179.07,-10.65,10.179,0.25,760,8.19,18.9,2.6,3.313,0.183,13.7,1.7,2.8930000000000002,0.17,NGC_1746
61,Platais_4,180.65,-10.9,7.98,0.25,276,8.24,14.7,8.2,3.045,0.727,11.8,1.8,2.752,0.207,Platais_4
62,NGC_1778,168.9,-2.03,11.526,0.23,1454,8.18,,,,,7.5,2.1,2.025,0.371,NGC_1778
63,NGC_1802,179.64,-9.24,8.785,0.25,400,8.66,,,,,4.7,1.2,1.555,0.327,NGC_1802
64,NGC_1817,186.15,-13.1,12.498,0.33,1972,8.25,19.2,3.2,3.1910000000000003,0.21899999999999997,20.0,5.2,3.2439999999999998,0.34299999999999997,NGC_1817
65,NGC_1901,279.03,-33.6,8.121,0.02,409,8.93,7.5,4.8,2.204,0.8240000000000001,6.9,1.2,2.095,0.235,NGC_1901
66,NGC_1893,173.58,-1.69,13.819,0.4,3280,6.82,28.1,6.7,3.48,0.313,27.7,6.2,3.4610000000000003,0.29600000000000004,NGC_1893
67,NGC_1896,177.34,-3.48,10.033999999999999,0.15,820,8.8,,,,,4.9,1.3,1.541,0.353,NGC_1896
68,Collinder_65,188.86,-10.86,7.86,0.13,310,7.41,11.1,1.4,2.668,0.171,26.9,2.5,3.824,0.129,Collinder_65
69,NGC_1907,172.61,0.3,11.921,0.42,1330,7.94,,,,,14.2,3.1,2.875,0.28600000000000003,NGC_1907
70,Stock_8,173.37,-0.19,12.665999999999999,0.44,1821,7.61,,,,,20.4,3.3,3.286,0.217,C_0524+343
71,NGC_1912,172.27,0.69,10.914000000000001,0.25,1066,8.56,18.5,1.9,3.25,0.13699999999999998,16.0,1.7,3.062,0.14400000000000002,NGC_1912
72,Collinder_69,195.26,-12.12,8.486,0.09,438,6.76,,,,,7.7,1.4,2.178,0.237,Collinder_69
73,NGC_1981,208.06,-18.96,8.165,0.05,400,7.5,4.1,0.6,1.3840000000000001,0.184,3.9,1.0,1.298,0.345,NGC_1981
74,NGC_1976,209.01,-19.39,8.16,0.05,399,7.71,7.9,2.5,2.222,0.415,6.6,1.3,1.9880000000000002,0.26,M_42
75,NGC_1977,208.48,-19.1,8.65,0.05,500,7.08,,,,,4.4,1.2,1.4409999999999998,0.35100000000000003,NGC_1977
76,NGC_1980,209.51,-19.6,8.857000000000001,0.05,550,6.67,4.3,0.6,1.412,0.182,4.7,1.2,1.53,0.327,NGC_1980
77,Collinder_70,205.03,-17.35,8.085,0.04,391,6.71,22.0,2.1,3.562,0.132,20.3,1.8,3.4539999999999997,0.121,Cl_Collinder_70
78,NGC_1960,174.53,1.07,11.282,0.22,1318,7.62,14.2,2.8,2.873,0.258,10.6,1.6,2.491,0.19899999999999998,M_36
79,NGC_1996,181.8,-3.11,11.196,0.15,1400,8.45,,,,,12.7,3.2,2.72,0.33399999999999996,NGC_1996
80,Sigma_Ori,206.82,-17.36,8.16,0.05,399,6.82,,,,,6.0,1.9,1.8780000000000001,0.409,Sigma_Ori
81,Stock_10,171.62,3.55,8.147,0.08,380,8.42,5.0,0.5,1.6219999999999999,0.128,5.0,1.1,1.6219999999999999,0.29100000000000004,C_0535+379
82,NGC_2099,177.64,3.09,11.634,0.3,1383,8.54,18.0,2.6,3.177,0.192,14.1,1.6,2.8560000000000003,0.156,M_37
83,Basel_11B,187.44,-1.12,11.19,0.1,1500,8.82,,,,,11.6,3.1,2.5860000000000003,0.35700000000000004,NAME_Basel_11B
84,NGC_2129,186.59,0.13,13.196,0.74,1515,7.08,,,,,4.9,1.6,1.473,0.43,NGC_2129
85,NGC_2143,202.19,-8.02,9.515,0.0,800,9.15,,,,,6.4,1.8,1.8969999999999998,0.368,NGC_2143
86,NGC_2169,195.6,-2.94,10.687999999999999,0.2,1032,6.89,,,,,4.7,1.1,1.4809999999999999,0.303,NGC_2169
87,NGC_2168,186.6,2.24,10.401,0.26,830,8.18,24.7,3.2,3.657,0.171,22.9,1.9,3.5580000000000003,0.11599999999999999,NGC_2168
88,NGC_2180,203.84,-7.02,9.795,0.0,910,9.24,,,,,6.6,1.5,1.9369999999999998,0.298,NGC_2180
89,NGC_2184,211.41,-10.52,9.279,0.08,640,8.37,,,,,5.5,1.9,1.7209999999999999,0.45899999999999996,NGC_2184
90,NGC_2186,203.54,-6.2,11.605,0.26,1445,8.08,,,,,5.1,1.5,1.547,0.38799999999999996,NGC_2186
91,Platais_6,205.3,-6.19,7.707999999999999,0.0,348,7.79,,,,,19.3,2.3,3.3939999999999997,0.16,Platais_6
92,NGC_2202,203.62,-4.9,9.771,0.0,900,8.74,,,,,3.5,1.0,1.1159999999999999,0.369,NGC_2202
93,Collinder_89,188.65,3.83,11.003,0.48,800,7.5,8.2,1.4,2.219,0.22899999999999998,17.0,3.1,3.1710000000000003,0.242,Collinder_89
94,NGC_2215,215.99,-10.1,11.488,0.3,1293,8.43,,,,,12.0,2.5,2.685,0.272,NGC_2215
95,NGC_2232,214.54,-7.42,7.652,0.03,325,7.49,5.8,0.8,1.839,0.17300000000000001,6.6,1.0,2.0069999999999997,0.20600000000000002,NGC_2232
96,Collinder_95,201.81,0.03,9.035,0.1,556,8.36,,,,,3.4,0.9,1.125,0.336,Collinder_95
97,Collinder_97,205.34,-1.74,8.712,0.07,500,8.32,,,,,6.5,1.8,1.962,0.371,Collinder_97
98,NGC_2244,206.3,-2.08,12.039000000000001,0.4,1445,6.7,17.6,4.4,3.153,0.32799999999999996,14.8,2.8,2.929,0.248,NGC_2244
99,NGC_2240,179.21,11.84,8.793,0.17,450,9.5,,,,,4.2,1.0,1.4040000000000001,0.301,NGC_2240
100,Basel_8,203.84,-0.16,11.763,0.37,1328,7.68,,,,,14.8,3.4,2.9389999999999996,0.301,Basel_8
101,NGC_2252,206.22,-1.31,10.081,0.1,900,8.84,,,,,4.5,1.2,1.43,0.349,NGC_2252
102,NGC_2251,203.57,0.1,11.207,0.19,1329,8.43,,,,,9.8,1.8,2.4019999999999997,0.242,NGC_2251
103,Ruprecht_1,223.99,-9.69,10.672,0.15,1100,8.76,7.6,1.1,2.124,0.18899999999999997,10.6,2.3,2.5540000000000003,0.281,C_0634-141
104,Collinder_106,206.03,-0.41,11.734000000000002,0.23,1600,6.74,,,,,35.1,6.8,4.038,0.256,C_0634+060
105,Collinder_107,207.34,-0.76,12.047,0.4,1450,7.03,,,,,7.2,2.6,1.9880000000000002,0.466,Collinder_107
106,Collinder_110A,209.71,-1.85,9.258,0.32,450,8.19,,,,,4.1,1.1,1.3630000000000002,0.34600000000000003,NAME_Collinder_110A
107,NGC_2264,202.95,2.19,9.222000000000001,0.04,660,6.81,19.6,8.4,3.378,0.557,17.8,2.3,3.252,0.171,NGC_2264
108,NGC_2269,207.88,0.27,12.376,0.4,1687,8.76,,,,,10.4,2.8,2.4419999999999997,0.35200000000000004,NGC_2269
109,NGC_2270,208.98,-0.07,10.917,0.06,1400,8.64,16.0,3.1,3.0389999999999997,0.255,17.7,2.6,3.1719999999999997,0.196,NGC_2270
110,NGC_2287,231.02,-10.45,9.297,0.03,693,8.45,12.0,1.3,2.7539999999999996,0.15,9.9,1.0,2.511,0.142,M_41
111,NGC_2281,174.9,16.88,8.919,0.06,558,8.7,9.0,2.4,2.378,0.35100000000000003,6.7,0.9,1.9869999999999999,0.182,NGC_2281
112,NGC_2301,212.56,0.28,9.76,0.03,858,8.31,6.7,2.5,1.973,0.48,7.1,0.9,2.051,0.175,NGC_2301
113,NGC_2302,219.29,-3.12,10.982999999999999,0.2,1182,8.49,,,,,3.5,0.9,1.114,0.33399999999999996,NGC_2302
114,NGC_2306,219.7,-2.62,10.550999999999998,0.05,1200,8.85,,,,,7.8,1.8,2.147,0.303,NGC_2306
115,Collinder_121,235.14,-10.14,10.331,0.04,1100,7.08,,,,,24.1,4.1,3.641,0.226,Collinder_121
116,NGC_2311,217.75,-0.7,12.125,0.2,2000,8.6,,,,,14.1,3.9,2.822,0.361,NGC_2311
117,NGC_2319,211.28,3.44,10.362,0.05,1100,8.61,,,,,7.8,2.0,2.133,0.345,NGC_2319
118,NGC_2323,221.66,-1.33,10.376,0.21,881,8.13,12.9,1.8,2.826,0.184,12.0,1.4,2.734,0.162,NGC_2323
119,vdBergh_92,224.57,-2.49,11.655,0.25,1500,7.59,13.3,3.0,2.818,0.292,12.9,3.1,2.772,0.314,vdBergh_92
120,NGC_2335,223.6,-1.18,11.966,0.39,1417,8.08,13.6,2.7,2.85,0.259,14.0,3.4,2.889,0.316,NGC_2335
121,Ruprecht_12,239.97,-9.29,9.926,0.05,900,7.56,,,,,5.7,1.7,1.7830000000000001,0.401,C_0705-281
122,NGC_2343,224.27,-1.18,10.49,0.12,1056,8.23,,,,,3.2,0.8,0.9890000000000001,0.327,NGC_2343
123,NGC_2345,226.57,-2.32,13.87,0.68,2251,7.74,,,,,9.7,2.6,2.336,0.34700000000000003,NGC_2345
124,Haffner_23,230.0,-3.81,10.31,0.1,1000,8.84,6.8,1.1,1.984,0.222,7.4,1.5,2.109,0.263,C_0707-168
125,Alessi_21,223.44,0.0,8.712,0.07,500,7.47,9.3,6.7,2.432,0.9470000000000001,9.1,1.6,2.408,0.226,Alessi_21
126,Collinder_132,243.13,-9.3,8.131,0.02,411,7.51,,,,,3.5,0.8,1.182,0.314,Collinder_132
127,NGC_2354,238.36,-6.81,13.794,0.29,3794,8.1,,,,,33.5,8.0,3.84,0.312,NGC_2354
128,NGC_2353,224.69,0.38,10.460999999999999,0.07,1119,7.05,8.5,5.5,2.2680000000000002,0.845,11.0,2.0,2.602,0.243,NGC_2353
129,Alessi_3,257.84,-15.37,7.638,0.11,288,8.87,5.2,2.6,1.7180000000000002,0.644,4.7,0.8,1.57,0.23600000000000002,Alessi_3
130,NGC_2358,231.05,-2.3,9.059,0.02,630,8.72,8.0,1.5,2.227,0.24600000000000002,5.8,1.0,1.825,0.226,NGC_2358
131,Basel_11A,228.25,-0.78,11.437999999999999,0.18,1500,7.42,,,,,8.9,4.0,2.302,0.586,NAME_Basel_11A
132,NGC_2360,229.8,-1.43,11.72,0.11,1887,8.59,15.4,3.6,2.98,0.309,15.6,2.1,2.9989999999999997,0.183,NGC_2360
133,Collinder_135,249.12,-11.19,7.643,0.04,319,7.54,11.7,1.7,2.76,0.196,11.5,1.3,2.736,0.153,Collinder_135
134,NGC_2362,238.2,-5.57,11.024000000000001,0.1,1389,6.64,10.2,1.5,2.504,0.19699999999999998,14.9,2.4,3.002,0.213,NGC_2362
135,NGC_2367,235.6,-3.84,12.532,0.33,2004,7.01,,,,,16.8,4.7,3.0989999999999998,0.365,NGC_2367
136,Collinder_140,245.0,-7.91,8.113999999999999,0.03,402,7.57,,,,,6.9,1.2,2.062,0.228,Collinder_140
137,NGC_2374,228.41,1.02,11.113,0.09,1468,8.68,17.2,3.1,3.16,0.235,17.1,2.7,3.154,0.20600000000000002,NGC_2374
138,NGC_2383,235.27,-2.47,11.745,0.21,1655,8.64,,,,,7.0,2.0,1.99,0.368,NGC_2383
139,NGC_2384,235.38,-2.4,12.434000000000001,0.26,2116,7.13,,,,,12.4,4.1,2.693,0.43200000000000005,NGC_2384
140,Trumpler_7,238.21,-3.34,11.679,0.27,1474,7.72,,,,,9.8,2.6,2.4459999999999997,0.35100000000000003,Cl_Trumpler_7
141,NGC_2396,227.52,2.63,9.002,0.05,588,8.52,4.3,0.5,1.432,0.152,4.9,0.9,1.6,0.23,NGC_2396
142,Bochum_5,232.45,0.77,12.745,0.4,2000,8.45,,,,,19.1,4.2,3.261,0.29100000000000004,Cl_Bochum_5
143,Bochum_4,232.75,0.77,10.292,0.19,872,7.25,,,,,3.2,0.7,1.02,0.306,NGC_2409
144,NGC_2413,229.28,3.09,8.341000000000001,0.04,440,8.46,,,,,3.9,0.9,1.296,0.298,NGC_2413
145,NGC_2414,231.41,1.95,14.039000000000001,0.56,2888,6.94,,,,,10.3,2.8,2.366,0.349,NGC_2414
146,NGC_2421,236.27,0.07,13.088,0.45,2181,7.41,,,,,13.8,3.1,2.8280000000000003,0.299,NGC_2421
147,NGC_2422,230.95,3.13,8.672,0.07,491,8.12,7.7,1.0,2.191,0.16699999999999998,8.8,1.0,2.364,0.152,NGC_2422
148,NGC_2423,230.48,3.53,9.731,0.1,766,8.98,13.4,1.8,2.9,0.177,11.4,1.2,2.682,0.139,NGC_2423
149,Ruprecht_26,232.05,2.69,11.102,0.1,1440,7.49,10.8,1.5,2.5669999999999997,0.183,10.9,2.2,2.577,0.26,Cl_Ruprecht_26
150,Melotte_71,228.95,4.49,12.835,0.11,3154,8.37,,,,,17.6,4.1,3.02,0.304,Melotte_71
151,Ruprecht_27,241.58,-2.57,9.206,0.15,560,8.41,,,,,4.1,1.1,1.3869999999999998,0.34700000000000003,Ruprecht_27
152,NGC_2428,233.08,2.72,11.765999999999998,0.05,2100,8.68,,,,,10.4,2.0,2.463,0.251,NGC_2428
153,NGC_2430,232.94,2.85,9.592,0.17,650,8.68,,,,,3.7,0.9,1.2409999999999999,0.314,NGC_2430
154,ESO_493-03,242.48,-2.51,11.040999999999999,0.1,1400,8.6,,,,,9.2,2.3,2.384,0.326,ESO_493-3
155,Haffner_13,245.0,-3.73,9.423,0.05,714,7.51,8.1,1.6,2.2640000000000002,0.26,11.7,1.9,2.735,0.218,C_0738-300
156,NGC_2439,246.43,-4.47,14.17,0.4,3855,6.82,,,,,25.2,7.1,3.513,0.371,NGC_2439
157,NGC_2432,235.58,1.82,11.909,0.12,2030,8.18,,,,,19.8,5.6,3.313,0.368,NGC_2432
158,Ruprecht_151,233.09,3.23,12.231,0.2,2100,8.49,,,,,20.5,3.6,3.342,0.23199999999999998,Cl_Ruprecht_151
159,NGC_2451A,252.5,-7.69,6.371,0.0,188,7.76,10.3,1.2,2.6069999999999998,0.158,8.4,1.2,2.335,0.184,NGC_2451A
160,NGC_2437,231.85,4.05,11.157,0.15,1375,8.16,17.6,2.2,3.2060000000000004,0.165,17.3,1.7,3.1839999999999997,0.135,NGC_2437
161,Ruprecht_31,250.09,-5.98,8.685,0.09,480,8.56,,,,,2.8,0.9,0.888,0.401,C_0740-354
162,NGC_2451B,252.05,-6.73,8.322000000000001,0.05,430,7.88,6.0,0.7,1.899,0.163,6.9,1.4,2.076,0.272,NAME_HIP_37742_Cluster
163,NGC_2447,240.05,0.15,10.234,0.05,1037,8.76,13.1,2.3,2.859,0.22899999999999998,10.6,1.1,2.588,0.14,NGC_2447
164,NGC_2448,240.76,-0.26,10.147,0.02,1040,7.19,,,,,13.2,2.3,2.866,0.231,NGC_2448
165,Ruprecht_34,237.19,2.15,9.825,0.1,800,8.9,,,,,4.7,1.3,1.5290000000000001,0.35200000000000004,C_0743-202
166,Haffner_16,242.09,0.47,13.06,0.18,3165,7.51,,,,,17.8,5.4,3.096,0.39799999999999996,Cl_Haffner_16
167,NGC_2477,253.56,-5.84,11.302999999999999,0.28,1222,8.61,9.7,1.9,2.488,0.261,9.2,1.8,2.4090000000000003,0.257,NGC_2477
168,ESO_123-26,273.11,-16.32,9.105,0.13,550,8.33,6.0,1.1,1.905,0.244,5.3,1.0,1.755,0.247,ESO_123-26
169,NGC_2467,243.15,0.34,11.714,0.34,1355,8.05,,,,,12.6,3.0,2.7960000000000003,0.314,NGC_2467
170,NGC_2479,235.98,5.37,10.706,0.1,1200,8.99,,,,,7.6,2.2,2.138,0.374,NGC_2479
171,NGC_2482,241.62,2.03,10.919,0.09,1343,8.48,12.6,2.9,2.79,0.303,11.4,1.9,2.6660000000000004,0.215,NGC_2482
172,NGC_2483,244.79,0.23,12.029000000000002,0.3,1659,7.49,,,,,10.9,3.5,2.5839999999999996,0.428,NGC_2483
173,Trumpler_9,243.07,1.29,12.387,0.19,2289,7.99,,,,,7.4,2.6,2.026,0.466,C_0753-258
174,NGC_2489,246.71,-0.77,13.988,0.37,3700,7.25,,,,,19.4,9.2,3.185,0.618,NGC_2489
175,NGC_2516,273.81,-15.85,7.912000000000001,0.07,346,8.08,8.6,1.2,2.369,0.182,8.7,0.9,2.396,0.14300000000000002,NGC_2516
176,Ruprecht_44,245.74,0.48,15.262,0.62,4655,7.33,,,,,37.2,9.4,3.931,0.33,C_0757-284
177,Ruprecht_43,246.06,0.39,11.407,0.27,1300,8.47,,,,,8.4,2.0,2.282,0.305,C_0756-287
178,NGC_2506,230.56,9.93,12.943,0.08,3460,9.05,,,,,33.7,8.4,3.841,0.32899999999999996,NGC_2506
179,Ruprecht_47,248.25,-0.19,13.165,0.25,3006,8.07,,,,,20.1,5.6,3.303,0.368,C_0800-309
180,NGC_2527,246.09,1.85,9.017999999999999,0.04,601,8.85,12.9,5.1,2.8689999999999998,0.517,9.7,1.1,2.504,0.151,NGC_2527
181,ESO_430-18,248.57,0.75,9.595,0.0,830,9.05,4.1,1.1,1.367,0.363,6.2,1.2,1.902,0.258,ESO_430-18
182,Vel_OB2,263.28,-7.99,8.162,0.03,411,7.26,16.7,1.7,3.235,0.14,17.6,1.7,3.298,0.132,Vel_OB2
183,NGC_2547,264.46,-8.6,8.424,0.04,457,7.7,5.4,1.5,1.764,0.359,4.9,0.8,1.6280000000000001,0.23,NGC_2547
184,NGC_2539,233.73,11.11,10.92,0.08,1363,8.75,26.4,5.1,3.739,0.256,20.1,2.2,3.387,0.15,NGC_2539
185,Ruprecht_53,245.81,3.56,11.493,0.11,1700,8.59,,,,,12.1,2.6,2.721,0.284,C_0808-268
186,NGC_2546,254.83,-2.05,10.22,0.13,919,7.92,23.5,2.8,3.653,0.162,18.7,1.9,3.355,0.13699999999999998,NGC_2546
187,Ruprecht_55,250.69,0.81,15.183,0.56,4892,6.97,43.0,7.6,4.138,0.233,59.8,13.8,4.5680000000000005,0.302,C_0810-324
188,Ruprecht_56,257.29,-3.52,8.436,0.12,410,8.7,3.6,0.4,1.222,0.153,6.2,1.9,1.9380000000000002,0.41,C_0810-403
189,NGC_2548,227.87,15.39,9.523,0.03,769,8.75,19.4,2.4,3.3739999999999997,0.16699999999999998,15.1,1.4,3.0460000000000003,0.126,M_48
190,vdBergh-Hagen_23,254.02,-1.0,8.357000000000001,0.05,437,7.14,,,,,5.4,1.0,1.743,0.23800000000000002,vdBergh-Hagen_23
191,Haffner_26,249.6,2.34,10.248,0.08,1000,7.47,,,,,4.2,1.7,1.4,0.523,Cl_Haffner_26
192,NGC_2567,249.79,2.96,11.526,0.13,1677,8.64,,,,,9.4,1.7,2.417,0.235,NGC_2567
193,NGC_2571,249.1,3.53,11.068,0.14,1339,7.22,13.7,3.5,2.915,0.33399999999999996,15.1,2.9,3.042,0.256,NGC_2571
194,Collinder_185,255.05,0.56,11.511,0.21,1486,8.18,,,,,7.6,2.0,2.1590000000000003,0.342,C_0820-360
195,vdBergh-Hagen_34,262.57,-2.97,9.982000000000001,0.03,950,8.48,,,,,8.7,2.8,2.365,0.42200000000000004,vdBergh-Hagen_34
196,Pismis_4,262.91,-2.47,8.896,0.01,593,8.11,9.6,0.9,2.501,0.133,9.4,1.6,2.475,0.233,Pismis_4
197,NGC_2627,251.58,6.65,11.821,0.09,2034,8.71,,,,,7.6,2.1,2.117,0.371,NGC_2627
198,Ruprecht_64,259.75,0.53,9.701,0.06,800,8.45,18.2,2.1,3.33,0.156,18.1,2.2,3.32,0.163,C_0835-399
199,NGC_2645,264.78,-2.91,12.289000000000001,0.38,1668,7.58,,,,,12.4,3.7,2.8139999999999996,0.389,NGC_2645
200,Ruprecht_65,263.07,-1.56,8.712,0.07,500,8.57,,,,,5.5,1.2,1.7730000000000001,0.27899999999999997,C_0837-438
201,NGC_2632,205.89,32.48,6.39,0.01,187,8.9,18.7,1.4,3.367,0.105,9.4,0.8,2.477,0.11599999999999999,NGC_2632
202,IC_2391,270.36,-6.83,6.2589999999999995,0.01,176,7.88,9.1,2.6,2.4530000000000003,0.366,6.3,0.9,1.9669999999999999,0.188,IC_2391
203,Ruprecht_67,262.79,-0.8,12.219000000000001,0.43,1504,8.38,,,,,7.7,2.2,2.1919999999999997,0.371,C_0840-432
204,Mamajek_1,292.48,-21.65,5.106,0.0,105,6.9,,,,,1.0,0.3,-0.373,0.368,Mamajek_1
205,IC_2395,266.63,-3.59,9.47,0.07,709,7.08,7.9,3.5,2.246,0.586,9.6,1.7,2.503,0.24,IC_2395
206,NGC_2659,264.17,-1.65,12.75,0.51,1713,7.23,,,,,7.2,2.2,2.112,0.406,NGC_2659
207,Bochum_7,265.19,-1.96,16.465999999999998,0.86,5754,7.08,,,,,74.8,23.9,4.928999999999999,0.41700000000000004,C_0843-458
208,NGC_2670,267.48,-3.63,11.707,0.43,1188,8.1,,,,,4.9,1.5,1.636,0.385,NGC_2670
209,NGC_2669,270.82,-6.07,10.655999999999999,0.18,1046,7.97,6.8,1.6,2.053,0.311,10.4,2.2,2.615,0.28,NGC_2669
210,Trumpler_10,262.76,0.64,8.193999999999999,0.03,417,7.38,12.7,2.7,2.873,0.28,11.0,1.4,2.685,0.171,Trumpler_10
211,Ruprecht_71,266.37,-1.9,10.725,0.05,1300,8.78,,,,,6.6,1.4,2.011,0.28300000000000003,C_0847-465
212,NGC_2682,215.7,31.92,9.976,0.06,908,9.41,9.6,1.9,2.4459999999999997,0.259,7.5,1.1,2.1319999999999997,0.18600000000000003,NGC_2682
213,vdBergh-Hagen_56,264.48,1.46,9.783,0.2,680,7.24,6.4,1.9,1.983,0.389,7.4,1.4,2.165,0.244,vdBergh-Hagen_56
214,Collinder_205,269.21,-1.85,13.267000000000001,0.77,1500,7.03,,,,,9.1,2.4,2.432,0.34600000000000003,C_0858-487
215,ESO_165-09,274.92,-5.93,8.421,0.05,450,8.96,,,,,2.4,0.7,0.693,0.384,ESO_165-9
216,Platais_8,277.54,-7.79,5.88,0.0,150,7.75,12.3,1.6,2.844,0.177,14.8,1.2,3.0810000000000004,0.115,Platais_8
217,ESO_166-04,273.9,-3.97,10.2,0.15,885,8.45,,,,,5.4,1.3,1.778,0.309,ESO_166-4
218,Platais_9,267.21,3.15,6.505,0.0,200,8.09,16.4,3.5,3.216,0.28300000000000003,19.5,2.5,3.4360000000000004,0.17300000000000001,Platais_9
219,vdBergh-Hagen_66,276.0,-3.01,15.155,0.3,7000,7.48,,,,,57.5,18.2,4.618,0.415,vdBergh-Hagen_66
220,IC_2488,277.83,-4.42,10.985999999999999,0.23,1134,8.53,10.3,1.3,2.613,0.175,13.9,2.1,3.008,0.201,IC_2488
221,Ruprecht_78,275.7,-1.88,12.161,0.35,1641,7.14,,,,,14.3,3.9,3.037,0.361,C_0927-534
222,NGC_2910,275.31,-1.18,13.135,0.34,2607,7.46,,,,,11.1,2.6,2.687,0.31,NGC_2910
223,Turner_5,264.23,11.05,8.32,0.1,400,8.49,16.1,1.4,3.188,0.12,22.3,2.6,3.609,0.157,Turner_5
224,NGC_2925,275.91,-1.23,9.692,0.08,774,8.05,6.8,0.9,2.066,0.182,8.4,1.3,2.354,0.19899999999999998,NGC_2925
225,Ruprecht_79,277.09,-0.82,13.776,0.74,1979,7.84,,,,,23.3,6.6,3.6719999999999997,0.37,C_0939-536
226,Ruprecht_80,270.75,6.71,12.92,0.3,2500,8.33,,,,,10.1,3.0,2.5540000000000003,0.381,Cl_Ruprecht_80
227,Ruprecht_82,277.73,-0.47,12.849,0.29,2455,8.5,,,,,12.8,4.2,2.891,0.43200000000000005,C_0943-537
228,NGC_3033,279.59,-2.07,10.847000000000001,0.33,922,8.62,,,,,6.5,1.8,2.022,0.36700000000000005,NGC_3033
229,Ruprecht_84,285.32,-8.82,11.585999999999999,0.1,1800,8.56,,,,,8.0,2.1,2.311,0.344,C_0947-650
230,NGC_3036,283.66,-6.83,11.636,0.4,1200,8.61,,,,,6.2,1.5,1.969,0.312,NGC_3036
231,Pismis_16,277.82,0.68,13.196,0.61,1824,7.72,,,,,6.6,2.3,2.042,0.455,C_0949-529
232,Collinder_213,276.82,2.76,10.948,0.07,1400,8.84,,,,,7.7,1.9,2.227,0.32,C_0952-504
233,Ruprecht_85,280.15,0.16,11.382,0.21,1400,8.7,,,,,6.6,1.7,2.0469999999999997,0.337,C_0959-548
234,NGC_3114,283.25,-3.87,10.046,0.08,911,8.24,16.6,1.9,3.247,0.158,15.5,1.5,3.159,0.13,NGC_3114
235,Loden_28,282.21,-2.21,14.905,0.62,3950,7.3,32.7,8.9,4.103,0.358,41.5,12.0,4.415,0.37799999999999995,Loden_28
236,Loden_1,281.02,-0.17,8.092,0.1,360,9.29,,,,,2.6,0.5,0.823,0.272,Loden_1
237,Trumpler_12,283.82,-3.7,10.725,0.05,1300,8.81,,,,,6.9,1.5,2.109,0.284,C_1004-600
238,Hogg_6,283.95,-3.85,11.175999999999998,0.05,1600,8.61,,,,,6.1,1.9,1.939,0.401,C_1004-602
239,Ruprecht_161,284.63,-4.34,10.145,0.09,940,8.39,9.5,1.9,2.526,0.267,12.2,2.2,2.85,0.237,Ruprecht_161
