COCD,Name,GLON[deg],GLAT[deg],DistMod,E(B-V),Dist[pc],logt[yr],rt[pc],e_rt[pc],logM[MSun],e_logM[MSun],rtA[pc],e_rtA[pc],logMA[MSun],e_logMA[MSun],Simbad_ID
1029,ASCC_29,214.72,-0.12,9.53,0.05,750,8.06,,,,,6.8,1.3,1.9980000000000002,0.26,ASCC_29
1030,ASCC_30,219.09,-1.6,9.98,0.15,800,8.2,,,,,7.8,1.4,2.171,0.231,ASCC_30
1031,ASCC_31,210.89,3.69,9.356,0.15,600,8.63,,,,,3.7,0.9,1.202,0.314,ASCC_31
1032,ASCC_32,237.88,-9.61,9.623,0.08,750,8.18,10.4,1.7,2.58,0.214,13.4,1.9,2.907,0.18600000000000003,ASCC_32
1033,ASCC_33,236.67,-8.73,9.67,0.05,800,7.26,,,,,28.6,3.0,3.891,0.141,ASCC_33
1034,ASCC_34,209.67,6.99,8.826,0.04,550,8.55,,,,,6.8,1.6,2.02,0.3,ASCC_34
1035,ASCC_35,213.46,5.68,9.701,0.06,800,8.49,,,,,11.4,1.9,2.667,0.218,ASCC_35
1036,ASCC_36,234.31,-4.64,9.375,0.0,750,8.51,,,,,5.2,1.1,1.6580000000000001,0.29100000000000004,ASCC_36
1037,ASCC_37,237.69,-5.46,11.020999999999999,0.0,1600,8.73,,,,,8.3,1.7,2.214,0.276,ASCC_37
1038,ASCC_38,221.97,5.36,8.712,0.07,500,8.6,,,,,5.4,1.1,1.714,0.265,ASCC_38
1039,ASCC_39,237.95,-1.72,10.88,0.0,1500,8.71,,,,,18.7,3.2,3.2880000000000003,0.23,ASCC_39
1040,ASCC_40,229.97,2.84,9.566,0.11,700,8.58,,,,,4.3,0.9,1.425,0.285,ASCC_40
1041,ASCC_41,219.35,12.35,7.903,0.02,370,8.44,,,,,5.3,1.1,1.7080000000000002,0.266,ASCC_41
1042,ASCC_42,266.41,-12.85,9.825,0.1,800,8.57,,,,,11.9,2.4,2.786,0.271,ASCC_42
1043,ASCC_43,244.73,-0.39,10.31,0.1,1000,8.28,,,,,13.0,2.2,2.864,0.221,ASCC_43
1044,ASCC_44,264.92,-10.47,10.765,0.18,1100,7.89,20.0,4.4,3.4539999999999997,0.29,18.8,4.0,3.3710000000000004,0.278,ASCC_44
1045,ASCC_45,253.63,-0.31,14.245999999999999,0.6,3000,7.12,,,,,31.2,7.4,3.907,0.311,ASCC_45
1046,ASCC_46,264.44,-7.33,10.081,0.1,900,7.71,,,,,15.5,2.9,3.1289999999999996,0.247,ASCC_46
1047,ASCC_47,258.26,0.31,10.081,0.1,900,7.88,15.4,2.5,3.103,0.21600000000000003,17.9,3.2,3.3,0.235,ASCC_47
1048,ASCC_48,257.39,1.61,8.01,0.0,400,9.09,5.4,0.5,1.758,0.12,4.4,1.0,1.4980000000000002,0.287,ASCC_48
1049,ASCC_49,259.31,3.47,9.833,0.02,900,8.14,,,,,13.7,3.1,2.9539999999999997,0.3,ASCC_49
1050,ASCC_50,262.5,1.48,10.267000000000001,0.2,850,7.48,,,,,12.0,2.3,2.786,0.252,ASCC_50
1051,ASCC_51,286.24,-14.08,8.65,0.05,500,8.53,12.5,1.0,2.8760000000000003,0.10800000000000001,11.7,1.6,2.79,0.18100000000000002,ASCC_51
1052,ASCC_52,275.96,-2.41,11.004000000000001,0.04,1500,8.75,,,,,17.9,2.8,3.332,0.21,ASCC_52
1053,ASCC_53,280.56,-5.36,12.455,0.15,2500,8.12,,,,,33.9,6.2,4.168,0.242,ASCC_53
1054,ASCC_54,277.9,-0.9,10.550999999999998,0.05,1200,8.84,,,,,11.3,1.8,2.736,0.21,ASCC_54
1055,ASCC_55,280.61,-2.09,10.796,0.19,1100,8.45,,,,,9.3,1.8,2.49,0.249,ASCC_55
1056,ASCC_56,286.39,-6.87,9.856,0.11,800,8.08,10.1,1.1,2.608,0.14300000000000002,11.1,2.1,2.728,0.251,ASCC_56
1057,ASCC_57,287.97,-8.59,11.283,0.13,1500,8.7,,,,,22.6,3.5,3.667,0.204,ASCC_57
1058,ASCC_58,281.71,1.33,9.17,0.09,600,7.04,,,,,9.6,1.4,2.521,0.195,ASCC_58
1059,ASCC_59,283.78,-0.51,8.857000000000001,0.05,550,8.6,,,,,7.4,1.0,2.1919999999999997,0.177,ASCC_59
1060,ASCC_60,285.67,-0.32,9.825,0.1,800,8.36,,,,,3.7,0.9,1.2890000000000001,0.313,ASCC_60
1061,ASCC_61,286.41,1.94,11.865,0.23,1700,7.96,,,,,25.4,3.8,3.8160000000000003,0.19899999999999998,ASCC_61
1062,ASCC_62,288.43,-0.66,13.13,0.24,3000,7.5,,,,,40.3,7.4,4.428999999999999,0.243,ASCC_62
1063,ASCC_63,289.12,-0.67,14.115,0.45,3500,7.24,,,,,24.4,5.7,3.775,0.308,ASCC_63
1064,ASCC_64,290.14,-0.77,11.345,0.15,1500,7.92,,,,,11.5,2.3,2.7889999999999997,0.261,ASCC_64
1065,ASCC_65,291.11,-0.57,13.96,0.4,3500,7.09,,,,,40.8,6.3,4.457,0.204,ASCC_65
1066,ASCC_66,289.29,4.84,10.31,0.1,1000,7.76,,,,,12.3,2.5,2.864,0.272,ASCC_66
1067,ASCC_67,294.56,0.71,11.81,0.3,1500,7.67,,,,,12.8,2.5,2.9389999999999996,0.254,ASCC_67
1068,ASCC_68,297.07,1.4,9.375,0.1,650,8.65,,,,,4.9,0.8,1.656,0.20600000000000002,ASCC_68
1069,ASCC_69,299.04,-7.23,10.527000000000001,0.17,1000,7.91,,,,,16.5,3.5,3.264,0.276,ASCC_69
1070,ASCC_70,299.01,-1.83,13.242,0.35,2700,6.92,,,,,43.1,9.0,4.566,0.276,ASCC_70
1071,ASCC_71,299.99,-4.82,11.345,0.25,1300,7.88,,,,,25.2,3.6,3.832,0.192,ASCC_71
1072,ASCC_72,300.69,1.84,10.703,0.16,1100,8.13,,,,,13.2,2.2,2.983,0.221,ASCC_72
1073,ASCC_73,301.49,-4.46,9.22,0.05,650,8.19,9.9,0.9,2.585,0.128,10.3,1.7,2.636,0.222,ASCC_73
1074,ASCC_74,308.66,3.57,8.857000000000001,0.05,550,8.5,,,,,4.2,1.0,1.483,0.322,ASCC_74
1075,ASCC_75,309.33,-0.24,13.315999999999999,0.3,3000,6.65,,,,,25.9,6.4,3.955,0.326,ASCC_75
1076,ASCC_76,308.97,-4.24,9.728,0.27,600,7.45,,,,,8.0,1.7,2.315,0.275,ASCC_76
1077,ASCC_77,312.0,-0.86,12.642000000000001,0.3,2200,6.99,30.6,3.8,4.152,0.16899999999999998,29.9,5.2,4.123,0.23,ASCC_77
1078,ASCC_78,314.77,-8.64,11.901,0.0,2400,8.48,,,,,15.2,3.5,3.2560000000000002,0.301,ASCC_78
1079,ASCC_79,320.04,-2.86,10.011000000000001,0.16,800,6.86,,,,,17.6,2.1,3.367,0.16399999999999998,ASCC_79
1080,ASCC_80,320.92,-2.73,11.407,0.17,1500,7.93,,,,,16.3,3.4,3.31,0.276,ASCC_80
1081,ASCC_81,328.83,2.85,9.69,0.15,700,8.38,,,,,7.6,1.5,2.269,0.263,ASCC_81
1082,ASCC_82,320.55,-7.74,9.515,0.0,800,8.67,,,,,9.5,1.8,2.569,0.248,ASCC_82
1083,ASCC_83,328.1,1.11,9.356,0.15,600,8.4,,,,,4.9,1.0,1.6880000000000002,0.275,ASCC_83
1084,ASCC_84,323.56,-5.44,10.236,0.15,900,7.68,,,,,7.7,1.6,2.293,0.27399999999999997,ASCC_84
1085,ASCC_85,339.89,-0.21,11.015999999999998,0.2,1200,7.42,,,,,10.6,2.3,2.7510000000000003,0.281,ASCC_85
1086,ASCC_86,330.63,-10.38,9.597000000000001,0.12,700,7.07,,,,,13.5,2.4,3.0189999999999997,0.231,ASCC_86
1087,ASCC_87,355.15,8.02,10.577,0.26,900,8.52,18.4,1.9,3.4539999999999997,0.141,21.9,3.7,3.677,0.225,ASCC_87
1088,ASCC_88,349.88,3.08,12.944,0.5,1900,7.17,48.3,7.0,4.798,0.192,44.9,6.6,4.703,0.195,ASCC_88
1089,ASCC_89,329.04,-14.56,8.805,0.1,500,7.03,16.8,2.8,3.2880000000000003,0.218,19.6,2.2,3.486,0.153,ASCC_89
1090,ASCC_90,354.28,-1.91,9.425,0.3,500,8.81,,,,,6.6,1.0,2.083,0.193,ASCC_90
1091,ASCC_91,353.13,-4.93,9.825,0.1,800,8.65,,,,,9.7,2.2,2.615,0.293,ASCC_91
1092,ASCC_92,15.35,7.63,9.84,0.25,650,9.01,,,,,8.2,1.9,2.3680000000000003,0.304,ASCC_92
1093,ASCC_93,8.33,-1.04,12.857999999999999,0.28,2500,7.22,,,,,30.8,6.4,4.2589999999999995,0.273,ASCC_93
1094,ASCC_94,15.54,0.92,10.267000000000001,0.2,850,8.78,,,,,9.2,1.4,2.545,0.19699999999999998,ASCC_94
1095,ASCC_95,6.15,-4.27,11.872,0.32,1500,8.04,21.3,7.2,3.7,0.43799999999999994,18.7,4.0,3.528,0.278,ASCC_95
1096,ASCC_96,0.63,-8.14,9.84,0.15,750,8.27,,,,,6.5,1.2,2.074,0.242,ASCC_96
1097,ASCC_97,14.16,-5.56,10.755,0.4,800,7.88,13.6,2.1,3.0460000000000003,0.205,11.8,2.2,2.859,0.252,ASCC_97
1098,ASCC_98,1.54,-12.94,9.639,0.04,800,8.33,,,,,19.5,3.2,3.5180000000000002,0.218,ASCC_98
1099,ASCC_99,15.89,-7.91,7.7010000000000005,0.15,280,8.71,,,,,3.0,0.7,1.023,0.307,ASCC_99
1100,ASCC_100,64.37,12.67,7.782,0.02,350,8.01,,,,,3.7,0.7,1.271,0.257,ASCC_100
1101,ASCC_101,67.99,11.59,7.72,0.0,350,8.52,4.7,0.5,1.6019999999999999,0.14300000000000002,4.2,0.8,1.4580000000000002,0.25,ASCC_101
1102,ASCC_102,63.27,6.64,10.88,0.0,1500,8.79,,,,,11.1,2.5,2.759,0.295,ASCC_102
