Simbad_ID,Name,dV,err_dV,[Fe/H],err_[Fe/H],t[Gyr],err_t,Rgc[kpc],z[pc],flag,tJP94[Gyr]
ESO_93-8,ESO_93-8,2.4,0.25,0.0,0.2,6.4,2.59,13.0,-1000,2,7.3
ESO_224-8,ESO_224-8,2.5,0.25,0.0,0.2,7.24,2.98,12.0,1350,2,8.6
NGC_2682,NGC_2682,2.3,0.05,0.02,0.06,4.3,0.5,9.05,405,0,6.3
NGC_2477,NGC_2477,0.5,0.15,0.0,0.08,1.0,0.3,8.89,-115,0,1.0
NGC_188,NGC_188,2.4,0.15,-0.03,0.06,6.3,0.8,9.35,580,0,7.2
NGC_7789,NGC_7789,1.1,0.05,-0.13,0.08,1.8,0.3,9.44,-170,0,1.7
Cl_Berkeley_39,Cl_Berkeley_39,2.4,0.05,-0.15,0.09,7.0,1.0,11.71,700,0,7.2
NGC_2204,NGC_2204,1.4,0.15,-0.38,0.08,2.0,0.3,11.84,-1200,0,2.2
NGC_2420,NGC_2420,1.6,0.05,-0.44,0.06,2.2,0.3,10.59,765,0,2.8
NGC_6791,NGC_6791,2.6,0.05,0.4,0.06,10.2,1.2,8.12,800,0,9.5
NAME_Hyades,NAME_Hyades,0.4,0.05,0.13,0.06,0.7,0.1,8.55,-20,0,0.9
NGC_2632,NGC_2632,0.3,0.05,0.13,0.06,0.7,0.1,8.62,85,0,0.9
