Name,deltaV,sigdV,[FeH],sigFeH,t[Gyr],sigt[Gyr],logt,Rgc[kpc],z[pc]
NAME_Hyades,2.3,0.15,-0.23,0.15,5.46,1.43,0.74,9.69,345
Cl_Melotte_66,0.4,0.15,-0.3,0.15,0.76,0.16,-0.12,10.34,-163
Cl_Melotte_71,0.4,0.05,0.13,0.06,0.7,0.1,-0.15,8.55,-20
NGC_188,2.3,0.15,-0.38,0.06,5.33,1.38,0.73,9.44,-710
NGC_752,0.5,0.15,-0.3,0.06,0.83,0.18,-0.08,10.46,210
NGC_1193,2.4,0.15,-0.03,0.06,6.3,0.8,0.8,9.35,580
NGC_1245,0.9,0.05,-0.09,0.06,1.24,0.2,0.09,8.75,-145
NGC_1798,2.1,0.15,-0.35,0.11,4.23,1.08,0.63,12.0,-845
NGC_1817,0.7,0.15,0.1,0.15,1.06,0.23,0.03,11.09,-465
NGC_2141,1.0,0.15,-0.47,0.15,1.28,0.29,0.11,11.79,290
NGC_2158,0.8,0.05,-0.1,0.09,1.12,0.18,0.05,10.26,-410
NGC_2192,1.6,0.25,-0.26,0.15,2.45,0.88,0.39,12.6,-430
NGC_2194,1.4,0.15,-0.48,0.11,1.91,0.45,0.28,12.36,120
NGC_2204,0.6,0.15,-0.31,0.15,0.91,0.2,-0.04,11.88,635
NGC_2236,0.5,0.15,0.0,0.2,0.87,0.19,-0.06,11.06,-110
NGC_2243,1.4,0.15,-0.38,0.08,2.0,0.3,0.3,11.84,-1200
NGC_2266,0.4,0.25,0.0,0.2,0.8,0.24,-0.1,11.61,-100
NGC_2324,2.2,0.15,-0.48,0.06,4.66,1.2,0.67,10.76,-1130
NGC_2354,0.5,0.25,0.0,0.2,0.87,0.26,-0.06,11.8,600
NGC_2355,0.3,0.25,-0.52,0.11,0.67,0.2,-0.17,11.29,185
NGC_2360,0.8,0.25,0.0,0.2,1.14,0.36,0.06,9.56,-215
NGC_2420,0.4,0.15,-0.07,0.15,0.79,0.17,-0.1,10.52,450
NGC_2477,0.5,0.05,-0.14,0.08,0.85,0.14,-0.07,9.28,-30
NGC_2506,1.6,0.05,-0.44,0.06,2.2,0.3,0.34,10.59,765
NGC_2627,0.5,0.15,0.0,0.08,1.0,0.3,0.0,8.89,-115
NGC_2632,1.5,0.05,-0.42,0.09,2.14,0.35,0.33,10.81,555
NGC_2660,1.6,0.15,0.0,0.2,2.55,0.62,0.41,9.28,220
NGC_2682,0.3,0.05,0.13,0.06,0.7,0.1,-0.15,8.62,85
NGC_2849,0.4,0.15,-0.55,0.11,0.73,0.16,-0.14,9.18,-155
NGC_3680,2.3,0.05,0.02,0.06,4.3,0.5,0.63,9.05,405
