ID,RA,Dec,ID_Simbad
[KPR2004b]_294,11 38 38.640,-63 23 13.200,[KPR2004b]_294
Cl_VDBH_150,13 38 01.440,-63 20 45.600,Cl_VDBH_150
[DBS2003]_69,11 33 49.000,-63 17 06.000,[DBS2003]_69
[DBS2003]_75,12 08 55.000,-63 16 12.000,[DBS2003]_75
[KPS2012]_MWSC_2056,12 37 59.000,-63 15 36.000,[KPS2012]_MWSC_2056
NGC_4052,12 01 47.040,-63 13 48.000,NGC_4052
[KPS2012]_MWSC_2153,13 43 14.640,-63 08 45.600,[KPS2012]_MWSC_2153
C_1017-628,10 18 48.000,-63 08 12.000,C_1017-628
[DBS2003]_68,11 28 52.000,-63 06 18.000,[DBS2003]_68
Cl_Hogg_15,12 43 37.440,-63 06 03.600,Cl_Hogg_15
[KPS2012]_MWSC_2134,13 33 50.000,-63 02 24.000,[KPS2012]_MWSC_2134
C_1206-626,12 09 35.520,-62 59 42.000,C_1206-626
Cl_Dias_4,13 43 25.000,-63 00 00.000,Cl_Dias_4
NGC_4609,12 42 19.680,-62 59 42.000,NGC_4609
IC_2944,11 36 13.000,-62 57 00.000,IC_2944
NGC_5281,13 46 27.360,-62 54 57.600,NGC_5281
Ass_Cir_OB_1,14 45 00.000,-62 55 30.000,Ass_Cir_OB_1
[DBS2003]_129,12 15 27.000,-62 54 36.000,[DBS2003]_129
NGC_5269,13 44 35.280,-62 54 25.200,NGC_5269
C_1437-626,14 41 35.000,-62 53 24.000,C_1437-626
[KPS2012]_MWSC_5696,18 11 16.000,-62 48 54.000,
Cl_Trumpler_21,13 32 16.320,-62 47 13.200,Cl_Trumpler_21
IC_2714,11 17 29.520,-62 43 08.400,IC_2714
NGC_4184,12 13 34.320,-62 43 08.400,NGC_4184
[KPS2012]_MWSC_1959,11 36 53.280,-62 43 51.600,[KPS2012]_MWSC_1959
C_1154-623,11 57 28.560,-62 42 28.800,C_1154-623
Cl_Danks_1,13 12 29.040,-62 41 56.400,Cl_Danks_1
NGC_3036,09 49 16.000,-62 40 12.000,NGC_3036
Cl_Danks_2,13 12 53.280,-62 40 51.600,Cl_Danks_2
[DBS2003]_85,13 18 27.000,-62 39 54.000,[DBS2003]_85
[FSR2007]_1595,11 47 05.040,-62 38 20.400,[FSR2007]_1595
[KPR2005]_89,17 23 20.000,-62 39 00.000,[KPR2005]_89
C_1203-622,12 06 04.800,-62 37 26.400,C_1203-622
Teutsch_77,11 53 29.000,-62 36 18.000,Teutsch_77
C_1453-623,14 57 01.440,-62 33 36.000,C_1453-623
C_1141-622,11 43 42.000,-62 32 13.200,C_1141-622
C_1140-622,11 42 14.000,-62 30 36.000,C_1140-622
Cl_Stock_16,13 19 26.400,-62 37 19.200,Cl_Stock_16
Cl_Loden_807,13 24 38.000,-62 29 42.000,Cl_Loden_807
[DBS2003]_60,11 05 32.400,-62 28 55.200,[DBS2003]_60
[FSR2007]_1659,13 38 01.000,-62 29 06.000,[FSR2007]_1659
Cl_Loden_467,11 45 30.000,-62 26 00.000,Cl_Loden_467
[KPS2012]_MWSC_1964,11 41 35.000,-62 25 30.000,[KPS2012]_MWSC_1964
C_1331-622,13 34 37.000,-62 25 00.000,C_1331-622
[DBS2003]_133,13 14 00.000,-62 24 06.000,[DBS2003]_133
[KPR2005]_75,13 47 15.000,-62 24 00.000,[KPR2005]_75
Cl_Basel_18,13 27 52.080,-62 18 21.600,Cl_Basel_18
[KPR2005]_77,14 10 46.560,-62 19 51.600,[KPR2005]_77
[KPS2012]_MWSC_1938,11 22 42.960,-62 18 07.200,[KPS2012]_MWSC_1938
C_1051-620,10 52 50.000,-62 18 18.000,C_1051-620
[DBS2003]_70,11 48 32.000,-62 17 06.000,[DBS2003]_70
SAI_116,11 49 17.760,-62 13 33.600,SAI_116
[KPS2012]_MWSC_5697,18 24 36.000,-62 11 42.000,
ESO_132-14,13 36 32.000,-62 11 24.000,ESO_132-14
C_1148-618,11 50 40.800,-62 08 24.000,C_1148-618
Cl_Lynga_1,13 59 58.560,-62 09 07.200,Cl_Lynga_1
[KPS2012]_MWSC_2066,12 48 43.000,-62 08 06.000,[KPS2012]_MWSC_2066
Cl_Pismis_18,13 36 54.480,-62 05 27.600,Cl_Pismis_18
Cl_Loden_991,13 45 16.000,-62 02 06.000,Cl_Loden_991
Cl_Loden_1339,14 33 29.000,-62 01 00.000,Cl_Loden_1339
[KPS2012]_MWSC_2110,13 21 07.000,-61 55 30.000,[KPS2012]_MWSC_2110
NGC_4349,12 24 11.520,-61 51 57.600,NGC_4349
NGC_5316,13 54 03.840,-61 52 58.800,NGC_5316
[DBS2003]_78,12 36 04.000,-61 51 18.000,[DBS2003]_78
Cl_Loden_213,10 36 09.000,-61 50 12.000,Cl_Loden_213
Cl_Loden_624,12 26 19.000,-61 48 00.000,Cl_Loden_624
[KPS2012]_MWSC_2184,13 56 17.000,-61 45 00.000,[KPS2012]_MWSC_2184
Cl_Loden_1101,13 58 10.000,-61 45 00.000,Cl_Loden_1101
ESO_137-43,16 48 25.000,-61 45 00.000,ESO_137-43
Kronberger_39,10 54 14.000,-61 44 00.000,Kronberger_39
ESO_137-23,16 24 31.000,-61 44 00.000,ESO_137-23
C_1055-614,10 57 22.000,-61 43 30.000,C_1055-614
C_1440-615,14 44 40.000,-61 42 54.000,C_1440-615
Cl_Ruprecht_92,10 53 31.000,-61 42 00.000,Cl_Ruprecht_92
[DBS2003]_77,12 34 59.000,-61 39 12.000,[DBS2003]_77
NGC_3766,11 36 14.640,-61 36 57.600,NGC_3766
C_1003-613,10 04 59.520,-61 37 08.400,C_1003-613
[DBS2003]_80,12 50 23.000,-61 34 54.000,[DBS2003]_80
Cl_Ruprecht_105,12 34 46.560,-61 35 31.200,Cl_Ruprecht_105
[KPS2012]_MWSC_2180,13 54 54.000,-61 34 30.000,[KPS2012]_MWSC_2180
[DBS2003]_66,11 16 26.000,-61 29 06.000,[DBS2003]_66
C_1105-612,11 07 16.000,-61 27 36.000,C_1105-612
[KPS2012]_MWSC_2167,13 48 36.000,-61 27 18.000,[KPS2012]_MWSC_2167
Cl_Loden_1256,14 18 00.000,-61 25 30.000,Cl_Loden_1256
Cl_Ruprecht_93,11 04 08.880,-61 22 19.200,Cl_Ruprecht_93
Cl_Hogg_17,14 33 50.160,-61 19 33.600,Cl_Hogg_17
Cl_Collinder_272,13 30 20.640,-61 19 08.400,Cl_Collinder_272
Cl_Lynga_2,14 24 20.400,-61 19 40.800,Cl_Lynga_2
[DBS2003]_62,11 11 20.000,-61 17 24.000,[DBS2003]_62
Cl_Loden_481,11 51 50.000,-61 16 12.000,Cl_Loden_481
C_1007-609,10 09 36.000,-61 15 32.400,C_1007-609
Shorlin_2,11 05 33.000,-61 15 18.000,
NGC_4103,12 06 30.720,-61 14 42.000,NGC_4103
NAME_Shorlin_1,11 05 46.320,-61 13 51.600,NAME_Shorlin_1
Cl_Hogg_16,13 29 17.000,-61 12 42.000,Cl_Hogg_16
Cl_Alessi_5,10 43 16.560,-61 04 51.600,Cl_Alessi_5
Cl_Trumpler_22,14 31 07.920,-61 10 08.400,Cl_Trumpler_22
C_1141-608,11 43 39.000,-61 09 18.000,C_1141-608
[KPR2005]_65,11 10 59.000,-61 07 30.000,[KPR2005]_65
Cl_Collinder_236,10 57 22.000,-61 07 12.000,Cl_Collinder_236
Cl_Loden_306,11 05 56.000,-61 07 12.000,Cl_Loden_306
NGC_2609,08 29 32.000,-61 06 00.000,NGC_2609
ESO_129-32,11 44 11.000,-61 03 30.000,ESO_129-32
[KPR2005]_67,11 41 07.200,-61 00 46.800,[KPR2005]_67
Cl_Hogg_8,10 29 17.000,-60 59 00.000,Cl_Hogg_8
NGC_5168,13 31 09.840,-60 56 42.000,NGC_5168
[KPR2005]_72,12 33 05.000,-60 55 48.000,[KPR2005]_72
C_1226-606,12 28 35.000,-60 55 30.000,C_1226-606
NAME_Alessi_Teutsch_8,12 02 51.000,-60 55 12.000,NAME_Alessi_Teutsch_8
[KPR2005]_64,11 03 04.000,-60 54 54.000,[KPR2005]_64
Cl_Pismis_19,14 30 39.840,-60 53 20.400,Cl_Pismis_19
NGC_3590,11 13 02.880,-60 47 24.000,NGC_3590
Cl_Collinder_258,12 27 11.520,-60 46 01.200,Cl_Collinder_258
Cl_Hogg_12,11 12 14.000,-60 45 54.000,Cl_Hogg_12
NGC_2516,07 58 06.480,-60 48 00.000,NGC_2516
C_1128-605,11 30 27.840,-60 45 07.200,C_1128-605
C_1027-604,10 29 08.000,-60 44 42.000,C_1027-604
[KPR2005]_84,15 54 56.000,-60 44 42.000,[KPR2005]_84
[KPR2004b]_317,12 53 04.000,-60 44 06.000,[KPR2004b]_317
[KPS2012]_MWSC_4486,19 24 00.000,-60 43 30.000,[KPS2012]_MWSC_4486
NGC_5617,14 29 48.480,-60 43 08.400,NGC_5617
NAME_Wray_15-751_Cluster,11 08 33.840,-60 44 27.600,NAME_Wray_15-751_Cluster
Cl_Loden_402,11 32 20.000,-60 42 18.000,Cl_Loden_402
Cl_Loden_172,10 27 50.000,-60 42 00.000,Cl_Loden_172
Cl_Loden_565,12 07 57.000,-60 41 24.000,Cl_Loden_565
Cl_Loden_682,12 47 13.000,-60 41 24.000,Cl_Loden_682
NGC_3255,10 26 32.400,-60 40 30.000,NGC_3255
Cl_Trumpler_18,11 11 18.240,-60 39 21.600,Cl_Trumpler_18
Cl_Trumpler_20,12 39 31.680,-60 38 13.200,Cl_Trumpler_20
[KPR2005]_79,15 18 55.440,-60 47 52.800,[KPR2005]_79
C_1107-602,11 09 43.000,-60 34 12.000,C_1107-602
C_1004-602,10 06 36.000,-60 30 00.000,C_1004-602
Teutsch_80,14 53 26.640,-60 28 40.800,Teutsch_80
[DBS2003]_87,13 32 51.000,-60 27 18.000,[DBS2003]_87
C_1222-601,12 25 01.000,-60 26 42.000,C_1222-601
[KPR2005]_63,10 55 55.000,-60 24 54.000,[KPR2005]_63
NGC_6025,16 03 06.960,-60 25 48.000,NGC_6025
C_0919-601,09 20 26.000,-60 23 42.000,C_0919-601
Cl_Hogg_11,11 11 37.000,-60 23 24.000,Cl_Hogg_11
Cl_Hogg_10,11 10 39.120,-60 23 06.000,Cl_Hogg_10
NGC_4755,12 53 39.600,-60 22 15.600,NGC_4755
[DBS2003]_136,14 25 00.000,-60 22 30.000,[DBS2003]_136
