Simbad_ID,Name_webda,RA_2000_webda,Dec_2000_webda,l_webda,b_webda,Dist_webda,Mod_webda,EB-V_webda,Age_webda,ST_webda,Z_webda,Diam_webda,Fe/H_webda,MRV_webda,pm RA_webda,pm Dec_webda,Measures_webda,Stars_webda
C_0646+004,Bochum_2,06 48 54,+00 23 00,212.30200000000002,-0.39,2661.0,14.7,0.831,6.665,,-18.1,1.5,,66.3,,,4,4
Cl_Berkeley_75,Berkeley_75,06 48 59,-23 59 30,234.3,-11.12,9800.0,15.2,0.08,9.48,,-1890.1,3.0,-0.68,,,,576,576
Cl_Berkeley_26,Berkeley_26,06 50 15,+05 43 48,207.69400000000002,2.346,4300.0,15.5,0.75,9.6,,176.0,4.0,,,,,1829,1829
[KPR2005]_26,ASCC_26,06 50 24,+07 15 00,206.35,3.06,800.0,9.92,0.13,8.09,,42.7,20.4,,8.0,-3.05,-0.5,18,18
NGC_2301,NGC_2301,06 51 45,+00 27 36,212.558,0.27899999999999997,872.0,9.79,0.027999999999999997,8.216000000000001,B8,4.2,14.0,0.06,21.2,-1.32,-4.9,89,77
NGC_2302,NGC_2302,06 51 55,-07 05 00,219.297,-3.117,1182.0,11.0,0.207,7.847,,-64.3,5.0,,,,,10,10
Cl_Berkeley_29,Berkeley_29,06 53 18,+16 55 00,197.983,8.025,14871.0,13.92,0.157,9.025,,680.0,6.0,-0.18,,,,1651,1649
[KPR2005]_27,ASCC_27,06 53 52,-04 23 23,217.11,-1.46,1200.0,10.68,0.09,8.75,,-30.6,24.0,,,-2.36,-3.72,27,27
[KPR2005]_28,ASCC_28,06 54 03,+00 10 11,213.38,0.5,800.0,9.67,0.05,8.34,,7.0,36.0,,22.7,-1.68,-1.1,62,62
[KPR2005]_29,ASCC_29,06 54 18,-01 39 00,214.72,-0.12,750.0,9.53,0.05,8.06,,-1.6,26.4,,13.5,-0.49,-0.35,46,46
NGC_2306,NGC_2306,06 54 28,-07 13 11,219.7,-2.62,1200.0,10.55,0.05,8.85,,-54.9,20.4,,,-0.98,1.91,20,20
NGC_2304,NGC_2304,06 55 11,+17 59 18,197.207,8.897,3991.0,13.32,0.1,8.9,,617.2,3.0,-0.32,,,,2052,2052
[KPR2005]_30,ASCC_30,06 56 59,-06 12 36,219.09,-1.6,800.0,9.98,0.15,8.2,,-22.3,31.2,,,-2.89,0.6,46,46
Cl_Berkeley_33,Berkeley_33,06 57 42,-13 13 00,225.424,-4.622,7000.0,15.0,0.3,8.9,,-564.1,4.0,,,,,12,12
NGC_2311,NGC_2311,06 57 46,-04 36 36,217.75,-0.7,2000.0,12.12,0.2,8.6,,-24.4,18.0,,,-3.2,2.77,22,22
Cl_Berkeley_32,Berkeley_32,06 58 06,+06 26 00,207.952,4.404,3100.0,12.95,0.16,9.53,,238.0,6.0,-0.58,101.0,,,1741,1726
C_0658-204,Tombaugh_1,07 00 29,-20 34 00,232.334,-7.314,3000.0,13.63,0.4,9.0,,-381.9,5.0,,,,,23,23
NGC_2319,NGC_2319,07 00 43,+03 02 23,211.28,3.44,1100.0,10.36,0.05,8.61,,66.0,24.0,,,-0.54,-1.55,24,24
[KPR2005]_31,ASCC_31,07 00 53,+03 30 00,210.89,3.69,600.0,9.36,0.15,8.63,,38.6,20.4,,,1.2,-1.38,15,15
[KPR2005]_32,ASCC_32,07 01 58,-26 30 00,237.88,-9.61,750.0,9.62,0.08,8.18,,-125.2,60.0,,,-3.39,1.97,164,164
M_50,NGC_2323,07 02 42,-08 23 00,221.672,-1.331,929.0,10.5,0.213,8.096,B6,-21.6,14.0,,9.5,0.61,-1.9,270,176
C_0701-207,Tombaugh_2,07 03 05,-20 49 00,232.832,-6.88,13260.0,15.86,0.08,9.01,,-390.5,3.0,-0.36,114.0,,,40,40
[KPR2005]_33,ASCC_33,07 03 10,-25 02 59,236.67,-8.73,800.0,9.67,0.05,7.26,,-121.4,108.0,,15.0,-3.78,3.78,487,487
C_0700-050,Bochum_3,07 03 24,-05 03 00,218.78900000000002,0.35,1762.0,11.97,0.24,7.89,,10.8,4.0,,,,,6,6
C_0701-114,vdBergh_92,07 03 54,-11 29 23,224.57,-2.49,1500.0,11.65,0.25,7.59,,-65.2,24.0,,17.33,-5.22,2.52,35,35
NGC_2324,NGC_2324,07 04 07,+01 02 42,213.447,3.2969999999999997,3805.0,13.3,0.127,8.63,B9,218.8,7.0,-0.52,41.81,-1.7,-2.77,28,26
C_0703-149,Haffner_4,07 06 12,-14 59 00,227.94,-3.5860000000000003,4500.0,14.82,0.5,8.7,,-281.5,5.0,,,,,6078,6078
C_0704-200,Ruprecht_10,07 06 25,-20 05 00,232.553,-5.854,2900.0,13.49,0.38,9.04,295.8,,4.0,,,,,5396,5396
Cl_Berkeley_76,Berkeley_76,07 06 41,-11 43 30,225.093,-1.9909999999999999,12600.0,17.21,0.55,9.18,,-437.8,5.0,,,,,3433,3433
NGC_2335,NGC_2335,07 06 49,-10 01 42,223.6,-1.183,1417.0,11.98,0.39299999999999996,8.21,B9,-29.3,6.0,-0.03,,-0.91,-3.18,62,62
C_0705-281,Ruprecht_12,07 07 19,-28 13 11,239.97,-9.29,900.0,9.93,0.05,7.56,,-145.3,20.4,,,-3.77,1.34,11,11
NGC_2343,NGC_2343,07 08 06,-10 37 00,224.268,-1.173,1056.0,10.48,0.11800000000000001,7.104,A0,-21.6,5.0,-0.3,,-2.09,-1.41,227,186
NGC_2345,NGC_2345,07 08 18,-13 11 36,226.58,-2.314,2251.0,13.67,0.616,7.853,A2,-90.9,12.0,,,,,65,65
C_0707-168,Haffner_23,07 09 18,-16 55 12,230.0,-3.81,1000.0,10.31,0.1,8.84,,-66.4,24.0,,,-3.7,-0.63,25,25
[KPR2005]_34,ASCC_34,07 10 30,+06 04 12,209.67,6.99,550.0,8.83,0.04,8.55,,66.9,36.0,,,-2.36,-1.87,39,39
Cl_Dias_3,Dias_3,07 10 31,-08 25 39,222.6,0.365,4650.0,15.3,0.64,9.15,,29.6,16.0,,,,,2223,2223
Cl_Alessi_21,Alessi_21,07 10 47,-09 20 24,223.44,0.0,500.0,8.71,0.07,7.47,,0.0,60.0,,38.8,-3.65,3.04,154,154
[KPR2005]_35,ASCC_35,07 12 39,+02 07 11,213.46,5.68,800.0,9.7,0.06,8.49,,79.2,48.0,,,-2.68,-0.94,77,77
NGC_2354,NGC_2354,07 14 10,-25 41 24,238.368,-6.792000000000001,4085.0,14.01,0.307,8.126,,-483.1,18.0,,33.4,-2.44,-2.96,73,51
NGC_2353,NGC_2353,07 14 30,-10 16 00,224.685,0.384,1119.0,10.47,0.07200000000000001,7.974,B0,7.5,18.0,,38.0,-2.49,0.0,5359,5322
[KPR2005]_36,ASCC_36,07 14 31,-21 07 12,234.31,-4.64,750.0,9.38,0.0,8.51,,-60.7,21.6,,,-2.15,-0.87,23,23
C_0712-310,Collinder_132,07 15 20,-30 41 00,242.989,-8.802,472.0,8.48,0.037000000000000005,7.08,B3,-72.2,80.0,,,-2.01,2.9,11,11
Cl_Alessi_3,Alessi_3,07 16 19,-46 36 36,257.84,-15.37,288.0,7.64,0.11,8.87,,-76.3,66.0,,,-11.63,12.61,92,92
NGC_2358,NGC_2358,07 16 55,-17 08 59,231.05,-2.3,630.0,9.06,0.02,8.72,,-25.3,32.4,,,-0.4,-1.17,64,64
NGC_2355,NGC_2355,07 16 59,+13 45 00,203.39,11.802999999999999,2200.0,12.08,0.12,8.85,,450.0,7.0,-0.07,35.13,-2.5,-3.0,41,41
NAME_Basel_11A,Basel_11A,07 17 06,-13 58 00,228.25599999999997,-0.7759999999999999,1520.0,10.91,0.0,8.3,,-20.6,5.0,,,,,44,44
Cl_Collinder_135,Collinder_135,07 17 17,-36 49 00,248.765,-11.132,316.0,7.6,0.032,7.407,B3,-61.0,50.0,,34.0,-10.7,5.3,118,84
NGC_2360,NGC_2360,07 17 43,-15 38 30,229.80700000000002,-1.426,1887.0,11.72,0.111,8.749,B8,-47.0,13.0,-0.15,29.0,-3.51,8.07,264,174
[KPR2005]_37,ASCC_37,07 18 03,-24 28 47,237.69,-5.46,1600.0,11.02,0.0,8.73,,-152.2,19.2,,,-3.04,0.81,23,23
NAME_Saurer_A_Cluster,Saurer_1,07 18 18,+01 53 12,214.68599999999998,7.388,13200.0,15.97,0.12,9.85,,1697.4,4.0,,,,,2,2
NGC_2362,NGC_2362,07 18 41,-24 57 18,238.179,-5.547999999999999,1389.0,11.01,0.095,6.914,O8,-134.3,5.0,,42.2,-2.29,3.03,755,485
Cl_Haffner_6,Haffner_6,07 20 06,-13 08 00,227.861,0.258,3054.0,13.82,0.45,8.826,,13.8,6.0,,,,,10,10
