#name logM[Msun] rtP[pc] log(t[yr])K rcK[pc] rtK[pc] Rhm[pc] [Fe/H]K
#-------------------------------------------------------------------
ASCC_87                  3.677    21.900     8.550     3.300     6.740    -9.999 99.999
ASCC_88                  4.703    44.900     7.000    12.330    17.680    -9.999 99.999
ASCC_89                  3.486    19.600     7.000     3.010     9.900     3.117 -0.134
ASCC_90                  2.083     6.600     8.810     0.000     0.000    -9.999 99.999
ASCC_91                  2.615     9.700     8.650     2.120     5.130    -9.999 -0.035
ASCC_92                  2.368     8.200     9.080     1.860     4.020    -9.999 99.999
ASCC_93                  4.259    30.800     6.100     1.090     8.250     2.376 99.999
ASCC_94                  2.545     9.200     8.840     3.070     5.330    -9.999 99.999
ASCC_95                  3.528    18.700     8.410     2.390     8.030     2.523 99.999
ASCC_96                  2.074     6.500     8.400     0.370     3.240     0.919 99.999
ASCC_97                  2.859    11.800     7.880     1.520     4.960     1.563  0.129
ASCC_98                  3.518    19.500     8.045     2.210     8.000     2.493 99.999
ASCC_99                  1.023     3.000     8.750     0.720     4.390     1.294 99.999
ASCC_100                 1.271     3.700     7.950     1.250     3.250    -9.999 99.999
ASCC_101                 1.458     4.200     8.620     1.060     4.840     1.471 99.999
ASCC_102                 2.759    11.100     8.890     0.450     6.600     1.771 99.999
ASCC_103                 2.475     9.100     8.390     0.600     6.900     1.900 99.999
ASCC_104                 3.181    15.500     7.710     4.720     7.740    -9.999 99.999
ASCC_105                 2.754    11.300     7.910     1.490     4.290    -9.999 99.999
ASCC_106                 2.781    11.400     8.420     3.850     6.190    -9.999 99.999
ASCC_107                 0.999     2.900     8.045     0.550     3.610     1.056 99.999
ASCC_108                 2.481     9.200     8.425     0.820     3.860     1.170 99.999
ASCC_109                 2.403     8.700     8.125     0.940     3.990     1.223 99.999
ASCC_110                 2.199     7.400     8.550     1.860     5.520    -9.999 99.999
ASCC_111                 4.251    35.600     6.650    10.200    17.280    -9.999 99.999
ASCC_112                 1.417     4.100     8.150     0.820     3.450     1.058 99.999
ASCC_113                 2.171     7.300     7.930     1.790     4.410    -9.999 99.999
ASCC_114                 1.041     3.100     7.750     0.380     2.920     0.840 99.999
ASCC_115                 1.254     3.700     8.350     2.350     4.490    -9.999 99.999
ASCC_116                 4.226    43.100     7.950     1.150     6.450     1.918 99.999
ASCC_117                 3.461    20.500     6.225     1.840    10.000     2.984 99.999
ASCC_118                 1.983     6.500     7.870     1.120     7.440     2.173 99.999
ASCC_119                 2.269     8.100     8.791     1.470     6.930     2.100 99.999
ASCC_120                 4.137    36.100     7.400     4.560     9.520    -9.999 99.999
ASCC_121                 3.741    26.600     6.400     3.950    17.540     5.349 99.999
ASCC_122                 3.453    19.900     7.700     5.650     8.800    -9.999 99.999
ASCC_123                 2.669    10.900     8.191     2.830     4.560    -9.999 99.999
ASCC_124                 1.866     5.900     8.195     1.190     4.930     1.515 99.999
ASCC_125                 4.467    45.200     6.700     0.610    22.560     5.482 99.999
ASCC_126                 2.508     9.700     7.451     2.430     6.690    -9.999 99.999
ASCC_127                 2.445     9.200     7.820     3.340     6.210    -9.999 99.999
ASCC_128                 2.769    12.000     8.454     0.740     5.350     1.548 99.999
ASCC_129                 2.309     8.500     9.050     2.170    18.000     5.133 99.999
ASCC_130                 3.436    23.300     7.241     3.280    11.620     3.630 99.999
Alessi_20                1.362     4.000     7.575     1.250     3.770    -9.999 99.999
Alessi_1                 2.512     9.900     8.840     4.590     7.680    -9.999 99.999
Alessi_13                2.620    10.400     8.720     1.520     6.450     1.976  0.060
Alessi_2                 1.654     5.100     8.698     2.200     4.540    -9.999 99.999
Alessi_21                2.408     9.100     7.700     1.520     4.940     1.558 99.999
Alessi_3                 1.570     4.700     8.870     0.450     4.460     1.248 -0.275
Alessi_5                 1.568     4.600     7.765     0.650     3.760     1.115 -0.382
Alessi_6                 1.800     5.400     8.320     1.310     8.670     2.533 -0.154
Alessi_8                 1.997     6.200     8.105     1.270     5.610     1.712 99.999
Alessi_9                 2.281     7.900     8.550     2.340     3.780    -9.999 -0.580
Alessi_19                3.080    14.300     7.900     2.210     4.850    -9.999 99.999
Alessi_10                1.143     3.200     8.195     1.060     3.270    -9.999 99.999
Alessi_12                2.567     9.800     7.460     4.470     6.310    -9.999 99.999
Antalova_1               2.137     6.700     8.485     3.350     6.530    -9.999 -0.655
