Name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec,Measures,Stars
Mamajek 1,08 42 06,-79 01 38,292.482,-21.654,97,4.93,0.00,6.9,,-35.8,40.0,,+16.1,-30.00,+27.80,35,18
IC 2395,08 42 30,-48 09 00,266.637,-3.592,705,9.45,0.066,7.223,B5,-44.2,17.0,,+0.5,-4.37,+4.05,495,347
NGC 2659,08 42 37,-44 59 00,264.179,-1.650,1713,12.76,0.514,6.890,B9,-49.3,5.0,,,,,268,256
NGC 2660,08 42 38,-47 12 00,265.929,-3.013,2826,13.23,0.313,9.033,,-148.5,3.5,-0.18,,,,866,866
NGC 2658,08 43 27,-32 39 30,254.555,6.070,2021,11.66,0.043,9.152,F8,213.7,6.0,,,,,19,19
Bochum 7,08 44 48,-45 58 00,265.189,-1.958,5754,16.47,0.86,7.00,,-196.6,20.0,,,-3.65,+5.00,1423,1423
Collinder 197,08 44 51,-41 14 00,261.486,0.991,838,11.32,0.548,7.128,,14.5,25.0,,+33.1,-9.80,+7.40,30,21
NGC 2670,08 45 30,-48 48 00,267.485,-3.625,1188,11.71,0.430,7.690,B5,-75.1,7.0,,,-8.10,+5.90,7,5
NGC 2671,08 46 12,-41 52 42,262.148,0.787,1660,14.32,1.04,7.90,B9,22.8,6.0,,,,,62,62
NGC 2669,08 46 22,-52 56 54,270.835,-6.092,1046,10.66,0.180,7.927,B9,-111.0,20.0,,,-5.83,+4.00,44,31
NGC 2664,08 47 11,+12 36 06,214.350,31.314,,,,,,,8.0,,,,,4,4
ASCC 49,08 47 52,-37 59 24,259.31,3.47,900,9.83,0.02,8.14,,54.5,54.0,,,-7.47,+3.34,99,99
Trumpler 10,08 47 54,-42 27 00,262.791,0.674,424,8.24,0.034,7.542,B3,5.0,29.0,,+21.5,-12.06,+6.60,61,49
Ruprecht 71,08 49 22,-46 50 59,266.37,-1.90,1300,10.73,0.05,8.78,,-43.1,19.2,,,-2.48,+05.58,20,20
ASCC 50,08 50 16,-41 43 12,262.50,1.48,850,10.27,0.20,7.48,,22.0,48.0,,17.13,-6.39,+3.85,86,86
NGC 2682,08 51 18,+11 48 00,215.696,31.896,908,9.97,0.059,9.409,B8,479.8,25.0,+0.00,+33.00,-8.62,-6.00,8799,7477
Ruprecht 72,08 52 05,-37 36 00,259.538,4.363,3019,13.14,0.24,9.10,,229.7,3.0,,,,,2951,2951
Ruprecht 158,08 52 27,-37 34 00,259.558,4.440,4168,13.84,0.24,9.20,,322.7,2.0,,,,,2951,2951
