Name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec,Measures,Stars
NGC 4337,12 24 04,-58 07 24,299.313,4.556,489,8.90,0.146,8.454,,38.8,4.0,,,,,18,18
Melotte 111,12 25 06,+26 06 00,221.353,84.025,96,4.95,0.013,8.652,A0,95.5,120.0,,,-10.84,-3.20,55,55
Collinder 258,12 27 10,-60 46 00,299.971,1.965,1184,10.86,0.160,8.032,,40.6,5.0,,,-8.07,-0.80,65,36
NGC 4439,12 28 27,-60 06 18,300.068,2.639,1785,12.34,0.348,7.909,B0,82.2,4.0,,,-10.49,-0.85,20,20
Hogg 14,12 28 36,-59 49 00,300.061,2.928,969,10.64,0.229,8.099,,49.5,3.0,,,-9.22,+1.08,11,11
Hogg 23,12 28 37,-60 54 35,300.16,1.84,1250,10.70,0.07,8.31,,40.1,12.0,,,-9.43,-1.12,9,9
NGC 4463,12 29 56,-64 47 24,300.643,-2.014,1050,11.45,0.434,7.505,B0,-36.9,3.5,,-14.6,-4.85,+0.88,3360,3347
ASCC 72,12 33 00,-60 57 00,300.69,1.84,1100,10.70,0.16,8.13,,35.3,30.0,,,-4.99,-0.48,61,61
Ruprecht 105,12 34 15,-61 34 11,300.88,1.24,950,10.04,0.05,9.01,,20.6,16.8,,,-7.62,-0.61,19,19
Upgren 1,12 35 00,+36 18 00,142.740,80.188,,,,,F3,,18.0,,,,,7,7
ASCC 73,12 36 35,-67 17 24,301.49,-4.46,650,9.22,0.05,8.19,,-50.5,48.0,,,-11.72,-0.88,101,101
Collinder 261,12 37 57,-68 22 00,301.684,-5.528,2190,12.54,0.27,9.95,A0,-211.0,9.0,-0.14,,,,45,45
Trumpler 20,12 39 34,-60 37 00,301.475,2.221,2420,12.37,0.26,8.20,,93.8,7.0,,,,,21389,14309
NGC 4609,12 42 18,-62 59 42,301.895,-0.142,1223,11.45,0.328,7.892,B4,-3.0,4.0,,,-9.45,-6.52,52,52
Hogg 15,12 43 37,-63 06 00,302.047,-0.242,2262,15.15,1.089,6.777,,-9.6,2.0,,,-7.87,+2.39,15,15
Loden 682,12 47 16,-60 39 00,302.42,2.22,900,10.39,0.20,8.41,,34.9,20.4,,,-4.31,-2.69,22,22
Loden 694,12 53 02,-60 45 00,303.12,2.12,1700,11.90,0.24,7.38,,62.9,36.0,,-23.00,-6.23,+00.90,92,92
NGC 4755,12 53 40,-60 22 05,303.208,2.503,1976,12.68,0.388,7.216,B2,86.3,10.0,,-20.2,-4.42,-1.53,7814,7304
NGC 4815,12 57 59,-64 57 36,303.625,-2.097,3079,14.95,0.808,8.369,,-112.7,5.0,,,,,9,9
NGC 4852,13 00 09,-59 36 48,304.035,3.240,1100,11.60,0.45,8.30,,62.2,7.0,,,,,43171,43171
NGC 5045,13 14 09,-63 23 23,305.47,-0.63,1500,12.03,0.37,7.11,,-16.5,45.6,,-16.76,-5.90,-2.05,93,93
vdBergh-Hagen 144,13 15 16,-65 55 12,305.362,-3.161,12000,17.57,0.70,8.90,,-660.7,1.5,,,19.88,-45.00,889,888
NGC 5043,13 16 08,-60 04 11,306.01,2.66,970,10.40,0.15,8.79,,45.0,20.4,,,-10.60,-0.86,34,34
Collinder 268,13 18 13,-67 05 00,305.541,-4.347,1963,12.42,0.308,8.759,,-148.8,5.0,,,,,11,11
Stock 16,13 19 29,-62 38 00,306.149,0.063,1640,12.60,0.491,6.915,O8,1.8,3.0,,-45.00,,,1513,1513
Ruprecht 107,13 19 46,-64 57 00,305.927,-2.243,1442,12.21,0.458,7.478,,-56.4,3.0,,,,,9,9
Collinder 269,13 23 31,-66 10 48,306.16,-3.51,1300,11.41,0.27,8.52,,-79.6,20.4,,,-7.95,-3.93,23,23
Loden 821,13 23 59,-59 47 24,307.02,2.83,2800,13.79,0.50,7.29,,138.2,24.0,,-39.00,-6.13,+00.57,44,44
Loden 807,13 24 39,-62 30 00,306.75,0.13,925,10.45,0.20,8.30,,2.1,21.6,,,-6.45,-0.93,36,36
Ruprecht 166,13 25 39,-63 28 00,306.742,-0.848,,,,,,,3.0,,,,,3,3
NGC 5138,13 27 16,-59 02 00,307.536,3.518,1986,12.30,0.262,7.986,,121.9,7.0,+0.12,,-3.65,+1.23,37,30
Basel 18,13 28 18,-62 21 00,307.194,0.216,2226,13.33,0.515,7.590,,8.4,3.0,,,,,14,14
Hogg 16,13 29 18,-61 12 00,307.477,1.337,1585,12.27,0.411,7.047,,37.0,6.0,,-35.8,-3.71,-3.17,420,381
Collinder 271,13 29 54,-64 12 00,307.103,-1.640,1169,11.23,0.287,8.322,,-33.5,5.0,,,,,10,10
Collinder 272,13 30 26,-61 19 00,307.595,1.202,2045,13.01,0.470,7.227,,42.9,10.0,,,-2.48,-2.56,804,804
NGC 5168,13 31 06,-60 56 24,307.732,1.562,1777,12.58,0.431,8.001,B0,48.4,4.0,,,-4.15,-0.28,34,28
Ruprecht 108,13 32 11,-58 28 00,308.252,3.984,901,10.20,0.136,8.424,,62.6,10.0,,,-10.06,-3.25,11,11
Trumpler 21,13 32 14,-62 48 00,307.574,-0.297,1263,11.12,0.197,7.696,B3,-6.5,5.0,,,,,24,24
Loden 915,13 34 06,-59 15 00,308.370,3.171,,,,,,,32.0,,,,,36,36
ASCC 74,13 35 49,-58 48 36,308.66,3.57,550,8.86,0.05,8.50,,34.2,24.0,,,-12.00,-0.32,27,27
Pismis 18,13 36 55,-62 05 36,308.226,0.310,2240,13.30,0.50,9.08,,12.1,4.0,,,,,1164,938
Dias 4,13 43 25,-63 00 48,308.789,-0.734,2150,13.50,0.60,9.10,,-27.5,6.4,,,,,9882,9882
Loden 1010,13 44 49,-60 15 00,309.51,1.94,700,9.85,0.20,8.69,,23.7,30.0,,,-7.88,+00.27,54,54
NGC 5281,13 46 35,-62 55 00,309.161,-0.714,1108,10.92,0.225,7.146,B0,-13.8,7.0,,,-5.29,-3.45,251,187
ASCC 75,13 47 09,-62 25 11,309.33,-0.24,3000,13.32,0.30,6.65,,-12.6,20.4,,-15.00,-3.97,-1.44,34,34
ASCC 76,13 52 15,-66 24 00,308.97,-4.24,600,9.73,0.27,7.45,,-44.4,42.0,,-14.00,-4.12,-3.34,63,63
NGC 5385,13 52 27,+76 10 24,118.197,40.389,,,,,,,8.0,,,,,7,7
NGC 5316,13 53 57,-61 52 06,310.229,0.115,1215,11.25,0.267,8.202,B5,2.4,14.0,,,-5.02,+0.19,191,162
Loden 995,13 54 17,-64 56 59,309.52,-2.88,2400,12.83,0.30,8.34,,-120.6,26.4,,,-3.97,-0.91,44,44
Loden 1171,13 59 23,-58 22 48,311.75,3.33,500,9.11,0.20,8.45,,29.0,13.2,,,-13.46,-5.75,10,10
Lynga 1,14 00 02,-62 09 00,310.849,-0.337,2283,13.22,0.460,8.007,B,-13.4,3.0,,,-7.66,-2.45,27,24
NGC 5359,14 00 07,-70 23 23,308.67,-8.28,2500,12.30,0.10,8.30,,-360.0,20.4,,,-5.75,-1.55,21,21
NGC 5381,14 00 41,-59 35 12,311.602,2.114,,,,,,,11.0,,,,,19,19
Ruprecht 110,14 05 27,-67 28 12,309.95,-5.61,1300,10.57,0.00,8.74,,-127.1,27.6,,,-12.35,-4.21,39,39
Loden 1194,14 05 42,-59 43 12,312.17,1.82,500,8.65,0.05,8.53,,15.9,21.6,,,-10.07,-3.29,23,23
NGC 5460,14 07 27,-48 20 36,315.746,12.628,678,9.44,0.092,8.207,B8,148.2,35.0,,-14,-6.59,-2.60,224,155
Loden 1225,14 09 03,-59 43 12,312.58,1.69,1500,11.50,0.20,8.67,,44.2,19.2,,,-9.99,+00.25,22,22
ASCC 77,14 10 48,-62 19 48,312.00,-0.86,2200,12.64,0.30,6.99,,-33.0,38.4,,,-4.59,-1.49,87,87
Loden 1256,14 18 10,-61 25 48,313.11,-0.28,1400,11.66,0.30,8.41,,-6.8,24.0,,,-4.29,-0.93,24,24
Ruprecht 167,14 18 10,-58 58 12,313.91,2.04,2000,11.81,0.10,8.57,,71.2,25.2,,,-6.90,-3.88,37,37
ESO 175-06,14 18 43,-56 55 11,314.658,3.952,550,9.32,0.20,8.60,,37.9,22.0,,,-8.65,-2.43,19,19
Lynga 2,14 24 35,-61 20 00,313.864,-0.454,1000,10.61,0.196,8.122,B,-7.9,10.0,,,-5.16,-5.80,880,854
NGC 5593,14 25 37,-54 47 59,316.30,5.61,850,9.65,0.00,8.77,,83.1,21.6,,,-3.28,-2.08,323,311
NGC 5606,14 27 47,-59 37 54,314.841,0.994,1805,12.75,0.474,7.075,B0,31.3,3.0,,-37.1,-5.19,-4.60,1512,1468
NGC 5617,14 29 44,-60 42 42,314.670,-0.100,1533,12.43,0.485,7.915,B0,-2.7,10.0,,,-2.04,-2.32,3,3
Trumpler 22,14 31 02,-61 10 00,314.647,-0.581,1516,12.52,0.521,7.950,B0,-15.4,10.0,,,,,72,72
NGC 5662,14 35 37,-56 37 06,316.937,3.394,666,10.08,0.311,7.968,B8,39.4,29.0,,-23.2,-5.02,-5.50,346,245
Alessi 6,14 40 15,-66 07 12,313.64,-5.53,437,8.79,0.19,8.30,,-42.1,50.4,,,-6.20,-6.22,120,120
vdBergh-Hagen 164,14 48 14,-66 20 23,314.28,-6.07,550,9.10,0.13,7.14,,-58.2,48.0,,13.50,-7.36,-11.14,75,75
NGC 5749,14 48 53,-54 29 54,319.529,4.545,1031,11.23,0.376,7.728,B8,81.7,10.0,,,-1.75,-3.36,39,39
Hogg 18,14 50 43,-52 16 00,320.765,6.426,1535,12.49,0.503,7.759,B3,171.8,5.0,,,-1.36,-3.34,34,34
NGC 5822,15 04 22,-54 24 00,321.57,3.59,917,10.28,0.15,8.83,B8,57.4,63.6,,-24.42,-7.46,-5.66,733,630
ASCC 78,15 05 06,-68 23 23,314.77,-8.64,2400,11.90,0.00,8.48,,-360.5,19.2,,,-7.24,-2.54,19,19
NGC 5823,15 05 31,-55 35 59,321.12,2.47,1192,10.66,0.09,8.90,F0,51.4,15.6,,,-6.15,-3.53,75,55
Pismis 20,15 15 23,-59 04 00,320.517,-1.200,2018,15.18,1.179,6.864,O9,-42.3,4.0,,-49.00,,,16,16
Pismis 21,15 16 49,-59 40 00,320.357,-1.807,,,1.50,7.90,,,4.0,,,,,6,6
ASCC 79,15 19 11,-60 43 47,320.04,-2.86,800,10.01,0.16,6.86,,-39.9,62.4,,4.03,-2.67,-4.10,139,139
ASCC 80,15 24 35,-60 08 23,320.92,-2.73,1500,11.41,0.17,7.93,,-71.4,30.0,,-25.00,-2.60,-4.15,57,57
Alessi 8,15 29 34,-51 13 47,326.49,4.27,575,9.08,0.09,7.92,,42.8,37.2,,,-6.05,-7.01,79,79
Lynga 4,15 33 19,-55 14 00,324.656,0.659,,,,,,,3.0,,,,,1,1
Loden 2313,15 40 48,-52 28 47,327.16,2.24,1410,10.90,0.05,8.74,,55.1,22.8,,,-3.77,-2.22,19,19
ASCC 81,15 46 55,-50 58 47,328.83,2.85,700,9.69,0.15,8.38,,34.8,31.2,,,-3.24,-5.65,60,60
ASCC 82,15 47 23,-64 24 36,320.55,-7.74,800,9.52,0.00,8.67,,-107.7,36.0,,,-2.96,-5.23,57,57
Collinder 292,15 49 51,-57 37 11,325.04,-2.62,1500,11.19,0.10,8.73,,-68.6,24.0,,,-1.60,-2.52,35,35
ASCC 83,15 50 13,-52 47 59,328.10,1.11,600,9.36,0.15,8.40,,11.6,25.2,,,-4.00,-4.92,31,31
NGC 5999,15 52 08,-56 28 24,326.008,-1.925,2050,12.95,0.45,8.60,A0,-68.9,3.0,,,,,68,68
ASCC 84,15 54 53,-60 44 24,323.56,-5.44,900,10.24,0.15,7.68,,-85.3,30.0,,-5.00,-1.74,-4.87,30,30
NGC 6005,15 55 48,-57 26 12,325.780,-2.986,2690,13.54,0.45,9.08,,-140.1,5.0,,,,,727,727
Ruprecht 113,15 57 28,-59 29 24,324.62,-4.69,810,10.01,0.15,8.23,,-66.2,54.0,,,-3.04,-2.10,101,101
Moffat 1,16 01 36,-54 08 36,328.54,-1.00,2100,14.70,1.00,7.00,,-36.7,2.0,,,,,14,14
NGC 6025,16 03 17,-60 25 54,324.551,-5.884,756,9.89,0.159,7.889,B3,-77.5,14.0,,,-3.12,-3.20,140,88
Lynga 6,16 04 52,-51 56 00,330.369,0.323,1600,14.90,1.250,7.430,B,9.0,5.0,,-59.4,-13.61,-1.83,14,14
NGC 6031,16 07 35,-54 00 54,329.281,-1.498,1823,12.45,0.371,8.069,B3,-47.7,3.0,,,-2.39,-7.52,126,122
NGC 6067,16 13 11,-54 13 06,329.745,-2.205,1417,11.93,0.380,8.076,B2,-54.5,14.0,+0.13,-39.9,-1.72,-2.48,53,41
Pismis 22,16 14 09,-51 52 00,331.468,-0.597,1000,16.20,2.00,7.60,,-10.4,4.0,,,,,12,12
NGC 6087,16 18 50,-57 56 06,327.726,-5.426,891,10.29,0.175,7.976,B5,-84.3,14.0,-0.01,+5.7,-2.35,-3.90,124,114
Ruprecht 116,16 23 20,-52 00 00,332.38,-1.68,900,10.08,0.10,8.95,,-26.4,12.0,,,-2.10,-4.86,18,18
Ruprecht 118,16 24 36,-51 58 00,332.547,-1.798,1343,11.91,0.41,8.11,,-42.1,3.0,,,,,7,7
NGC 6124,16 25 20,-40 39 12,340.741,6.016,512,10.87,0.750,8.147,B8,53.7,39.0,,,-1.26,-3.00,394,305
NGC 6134,16 27 46,-49 09 06,334.917,-0.198,913,11.03,0.395,8.968,B8,-3.2,6.0,+0.18,-26.0,-0.86,-4.60,51,51
Ruprecht 119,16 28 15,-51 30 00,333.276,-1.879,956,11.67,0.570,6.853,,-31.3,8.0,,,-1.15,-1.80,777,758
NGC 6152,16 32 42,-52 38 23,332.91,-3.15,1030,10.68,0.20,8.65,B5,-56.6,43.2,,,-2.06,-2.50,147,147
NGC 6169,16 34 04,-44 02 42,339.378,2.515,,,,,,,12.0,,,,,3,3
NGC 6167,16 34 34,-49 46 18,335.222,-1.427,1108,12.64,0.779,7.887,B0,-27.6,7.0,,,-0.83,-4.52,21,21
Collinder 307,16 35 20,-51 00 00,334.399,-2.347,1300,13.17,0.84,8.40,,-53.2,5.0,,,,,12,12
NGC 6178,16 35 47,-45 38 36,338.405,1.211,1014,10.71,0.219,7.248,B5,21.4,5.0,,+4.5,+0.62,-2.06,120,102
NGC 6192,16 40 23,-43 22 00,340.647,2.122,1547,12.92,0.637,8.130,A2,57.3,9.0,,,,,100,100
NGC 6193,16 41 20,-48 45 48,336.711,-1.574,1155,11.79,0.475,6.775,B0,-31.7,14.0,,-24.3,+0.23,-4.48,232,146
NGC 6200,16 44 07,-47 27 48,337.996,-1.069,2054,13.36,0.581,6.928,,-38.3,14.0,,,-1.00,-5.06,323,322
Lynga 12,16 46 04,-50 46 00,335.695,-3.463,1000,10.68,0.22,8.75,,-60.4,5.0,,,,,140,140
NGC 6204,16 46 09,-47 01 00,338.560,-1.040,1085,11.51,0.430,7.564,B0,-19.7,5.0,,-53.00,-0.02,-0.01,231,203
Hogg 22,16 46 37,-47 05 00,338.561,-1.143,1216,12.43,0.647,6.780,,-24.3,3.0,,,-3.16,-3.77,61,31
Westerlund 1,16 47 04,-45 50 42,339.554,-0.400,5200,22.88,3.0,,B0,-36.0,3.0,,,,,280,266
ASCC 85,16 47 31,-45 27 35,339.89,-0.21,1200,11.02,0.20,7.42,,-4.4,26.4,,7.09,-0.43,-4.01,19,19
NGC 6208,16 49 28,-53 43 42,333.755,-5.765,939,10.51,0.210,9.069,,-94.3,18.0,,,-0.24,+0.53,30,30
NGC 6231,16 54 10,-41 49 30,343.464,1.184,1243,11.83,0.439,6.843,O8,25.7,14.0,,-25.00,-1.73,-1.07,327,293
ESO 332-08,16 54 43,-40 42 30,344.397,1.807,1200,11.02,0.20,8.17,,37.9,16.0,,,0.05,-4.10,20,20
Lynga 14,16 55 04,-45 14 00,340.919,-1.089,881,14.15,1.428,6.712,,-16.7,3.0,,,,,9,9
NGC 6242,16 55 33,-39 27 42,345.468,2.466,1131,11.44,0.377,7.608,B5,48.7,9.0,,,+0.00,+1.65,149,128
vdBergh-Hagen 205,16 56 09,-40 40 11,344.59,1.62,2160,12.60,0.30,7.12,,61.1,7.2,,-7.00,-1.12,-1.22,9,9
Trumpler 24,16 57 00,-40 40 00,344.701,1.496,1138,11.58,0.418,6.919,O7,29.7,60.0,,-4.0,-0.87,-1.27,301,252
NGC 6249,16 57 41,-44 48 42,341.537,-1.186,981,11.33,0.443,7.386,,-20.3,5.0,,,+2.18,-5.00,311,303
NGC 6250,16 57 56,-45 56 12,340.683,-1.920,865,10.77,0.350,7.415,B8,-29.0,10.0,,,-0.19,-3.30,84,63
NGC 6253,16 59 05,-52 42 30,335.460,-6.251,1510,11.51,0.20,9.70,,-164.4,4.0,+0.36,,,,148018,147975
NGC 6259,17 00 45,-44 39 18,341.998,-1.517,1031,11.61,0.498,8.336,F8,-27.3,14.0,+0.02,-33.70,-0.11,-3.74,39,37
ASCC 86,17 01 58,-59 00 35,330.63,-10.38,700,9.60,0.12,7.07,,-126.1,66.0,,-6.00,-3.34,-7.79,109,109
NGC 6268,17 02 10,-39 43 42,346.049,1.300,1029,11.26,0.387,7.236,,23.3,6.0,,,,,210,194
ASCC 87,17 02 59,-28 27 00,355.15,8.02,900,10.58,0.26,8.52,,125.6,66.0,,,+0.89,-2.79,97,97
NGC 6281,17 04 41,-37 59 06,347.731,1.972,479,8.86,0.148,8.497,,16.5,8.0,,,-3.43,-3.60,109,108
ASCC 88,17 06 46,-35 35 59,349.88,3.08,1900,12.94,0.50,7.17,,102.1,66.0,,1.75,+2.89,-2.00,127,127
NGC 6318,17 16 11,-39 25 30,347.902,-0.688,2220,15.45,1.20,8.20,,-25.2,4.0,,,,,336,336
vdBergh-Hagen 217,17 16 18,-40 49 00,346.782,-1.513,1213,10.42,0.60,7.54,,-32.0,5.0,,,,,267,267
Bochum 13,17 17 24,-35 33 00,351.202,1.360,1077,12.81,0.854,6.823,,25.6,14.0,,,+0.26,-1.56,55,49
NGC 6322,17 18 25,-42 56 00,345.279,-3.057,996,11.82,0.590,7.058,B1,-53.1,5.0,,,+0.92,-0.48,120,89
vdBergh-Hagen 221,17 18 39,-32 20 24,353.97,3.00,750,9.99,0.20,8.01,,39.3,27.6,,6.33,2.84,-3.10,48,48
Havlen-Moffat 1,17 18 54,-38 49 00,348.704,-0.767,2900,18.05,1.85,,O4,-38.8,5.0,,,,,40,40
ASCC 89,17 23 16,-62 38 23,329.04,-14.56,500,8.81,0.10,7.03,,-125.7,132.0,,4.00,+1.35,-8.31,366,366
IC 4651,17 24 49,-49 56 00,340.088,-7.907,888,10.10,0.116,9.057,,-122.2,10.0,+0.09,-31.0,-1.07,-2.20,17697,17640
Pismis 24,17 25 32,-34 25 00,353.161,0.892,1995,16.83,1.72,7.00,,31.1,5.0,,,,,9,9
Trumpler 26,17 28 33,-29 30 00,357.524,2.840,,,,,,,6.0,,,,,47,47
Antalova 1,17 28 55,-31 34 11,355.84,1.64,850,10.42,0.25,8.50,,24.3,26.4,,33.0,-0.24,-3.75,29,29
Ruprecht 125,17 29 38,-40 28 12,348.49,-3.40,1500,11.19,0.10,8.77,,-89.0,20.4,,,-1.46,-3.56,26,26
Collinder 333,17 31 29,-34 01 12,354.09,-0.17,855,10.00,0.11,8.90,,-2.5,18.0,,,0.68,-4.88,10,10
NGC 6383,17 34 48,-32 34 00,355.690,0.041,985,10.89,0.298,6.962,O7,0.7,20.0,,+7.00,+1.58,-2.00,6176,5791
Trumpler 27,17 36 20,-33 31 00,355.064,-0.742,1211,14.12,1.194,7.063,O9,-15.7,6.0,,,-0.92,-0.57,76,64
Trumpler 28,17 37 00,-32 29 00,356.010,-0.304,1343,12.91,0.733,7.290,,-7.1,5.0,,,-0.58,-2.02,269,227
NGC 6396,17 37 36,-35 01 36,353.930,-1.774,1192,13.25,0.926,7.506,,-36.9,3.0,,-29.0,,,9,9
ESO 139-13,17 37 41,-58 07 48,333.982,-13.805,1500,11.50,0.20,8.78,,-357.8,10.0,,,-0.57,1.57,5,5
Ruprecht 127,17 37 51,-36 18 00,352.880,-2.498,1466,13.90,0.990,7.351,,-63.9,5.0,,-29.9,,,157,155
Collinder 338,17 38 06,-37 43 12,351.70,-3.29,880,10.50,0.25,8.65,,-50.5,31.2,,,2.89,-3.97,42,42
ASCC 90,17 39 07,-34 47 59,354.28,-1.91,500,9.43,0.30,8.81,,-16.7,43.2,,,-2.49,-3.64,61,61
NGC 6400,17 40 12,-36 57 00,352.58,-3.24,950,10.23,0.11,8.78,,-53.7,25.2,,,-0.94,-2.92,25,25
NGC 6405,17 40 20,-32 15 12,356.580,-0.777,487,8.88,0.144,7.974,B5,-6.6,20.0,+0.06,+10.4,-2.19,-5.40,740,647
Trumpler 29,17 41 31,-40 09 00,349.98,-5.14,760,9.99,0.19,8.69,,-68.1,21.6,,,1.45,-4.64,31,31
Alessi 9,17 43 55,-47 10 48,344.13,-9.13,195,6.67,0.07,8.42,,-30.9,168.0,,-11.60,11.59,-9.72,797,797
NGC 6416,17 44 19,-32 21 42,356.932,-1.549,741,10.13,0.251,8.087,A0,-20.0,14.0,,,-1.39,+0.20,69,69
Collinder 347,17 46 18,-29 20 00,359.738,-0.334,1514,14.50,1.16,7.08,,-8.8,10.0,,,,,6,6
IC 4665,17 46 18,+05 43 00,30.619,17.082,352,8.27,0.174,7.634,B4,103.4,70.0,,-13.,-0.86,-8.10,922,921
NGC 6425,17 47 01,-31 31 48,357.940,-1.606,778,10.69,0.399,7.347,,-21.8,10.0,,,+3.11,-2.79,365,353
Collinder 350,17 48 07,+01 21 00,26.79,14.69,280,8.38,0.37,8.61,,71.0,66.0,,,-3.55,+00.02,60,60
ASCC 91,17 48 54,-37 21 36,353.13,-4.93,800,9.82,0.10,8.65,,-68.8,36.0,,,+2.29,-4.92,41,41
Collinder 351,17 49 00,-28 44 09,0.555,-0.529,1310,12.76,0.70,8.20,,-12.1,7.0,,,,,3388,3388
Ruprecht 131,17 49 15,-29 15 00,0.14,-0.84,600,9.20,0.10,9.17,,-8.8,13.2,,,-0.40,-2.41,12,12
NGC 6444,17 49 33,-34 49 11,355.39,-3.75,560,9.11,0.12,9.00,,-36.6,20.4,,,1.61,-0.40,20,20
ASCC 92,17 51 07,-11 52 48,15.35,7.63,650,9.84,0.25,9.01,,86.3,36.0,,,-7.68,-4.91,18,18
Ruprecht 168,17 52 46,-28 26 00,1.238,-1.085,820,12.86,1.06,9.30,,-15.5,4.0,,,,,1152,1152
NGC 6469,17 53 13,-22 19 11,6.55,1.94,550,9.63,0.30,8.36,B8,18.6,18.0,,,3.04,-1.20,22,22
Czernik 37,17 53 16,-27 22 00,2.213,-0.638,,,,,,,3.0,,,,,403,403
NGC 6475,17 53 51,-34 47 36,355.861,-4.501,301,7.71,0.103,8.475,B8,-23.6,80.0,,-9.2,+1.67,-3.60,304,267
Trumpler 30,17 56 45,-35 16 12,355.74,-5.25,1000,10.68,0.22,8.31,,-91.5,15.6,,,3.82,-0.13,16,16
NGC 6494,17 57 04,-18 59 06,9.894,2.834,628,10.09,0.356,8.477,B9,31.0,29.0,+0.09,-8.6,+1.37,-1.20,134,125
Ruprecht 135,17 58 12,-11 39 00,16.421,6.234,1850,14.75,1.10,8.70,,200.9,4.0,,,,,467,467
Ruprecht 169,17 59 23,-24 46 00,5.151,-0.518,1390,12.76,0.66,9.00,,-12.6,3.0,,,,,724,724
Trumpler 31,17 59 49,-28 10 00,2.248,-2.293,986,11.05,0.35,8.87,,-39.4,5.0,,,,,35,35
NGC 6507,17 59 50,-17 27 00,11.554,3.028,1230,13.08,0.85,8.60,,65.0,14.0,,,,,3354,3354
Ruprecht 138,17 59 54,-24 41 00,5.282,-0.579,930,10.40,0.18,9.30,,-9.4,6.0,,,,,982,982
Ruprecht 137,18 00 17,-25 14 00,4.848,-0.927,1450,12.88,0.67,8.90,,-23.5,5.0,,,,,746,746
Ruprecht 139,18 01 01,-23 31 48,6.41,-0.22,550,9.17,0.15,9.05,,-2.1,15.6,,,-1.10,-2.19,10,10
Collinder 359,18 01 06,+02 54 00,29.750,12.517,249,7.58,0.193,7.506,B3,54.0,240.0,,,+0.14,-9.10,505,505
Bochum 14,18 02 00,-23 41 00,6.388,-0.499,578,13.48,1.508,6.996,,-5.0,2.0,,,,,3,3
NGC 6514,18 02 42,-22 58 18,7.086,-0.287,816,10.15,0.190,7.368,O5,-4.1,28.0,,-22.00,+0.06,-0.90,25,25
NGC 6520,18 03 24,-27 53 18,2.881,-2.844,1577,12.33,0.431,7.724,,-78.2,5.0,,,+0.69,-2.65,8733,8490
NGC 6531,18 04 13,-22 29 24,7.677,-0.355,1205,11.28,0.281,7.070,B0,-7.5,14.0,,-16.00,+2.28,-3.05,1155,1041
NGC 6530,18 04 31,-24 21 30,6.083,-1.331,1330,11.65,0.333,6.867,O5,-30.9,14.0,,-30.00,+0.58,-2.09,2695,1738
NGC 6546,18 07 22,-23 17 48,7.328,-1.382,938,11.38,0.491,7.849,,-22.6,14.0,,,-2.41,-0.70,19,19
ASCC 93,18 08 13,-22 15 36,8.33,-1.04,2500,12.86,0.28,7.22,,-45.4,32.4,,-23.33,-2.18,-1.80,54,54
vdBergh 113,18 08 52,-21 25 12,9.13,-0.77,3470,14.50,0.58,7.50,,-46.6,27.6,,-16.00,-0.26,-2.47,41,41
ESO 521-38,18 09 25,-24 31 48,6.476,-2.389,1800,11.96,0.22,8.10,,-74.7,10.0,,,0.41,-2.71,10,10
Collinder 367,18 09 43,-23 39 35,7.27,-2.02,1200,11.48,0.35,6.84,B1,-42.3,48.0,,-3.17,1.16,-2.03,70,70
NGC 6561,18 10 29,-16 43 47,13.42,1.16,3400,13.90,0.40,6.92,,68.8,21.6,,-17.93,0.02,+00.02,22,22
NGC 6568,18 12 43,-21 36 00,9.41,-1.64,1000,10.77,0.25,8.71,,-28.6,26.4,,,-1.43,-1.71,48,48
ESO 522-05,18 12 53,-24 21 48,7.001,-3.001,660,14.74,1.82,9.51,,-34.6,4.0,,,,,463,463
Markarian 38,18 15 17,-19 00 00,11.983,-0.931,1471,12.09,0.405,6.882,O9,-23.9,2.0,,-18.0,+0.07,-2.20,20,18
ASCC 94,18 15 36,-14 59 23,15.54,0.92,850,10.27,0.20,8.78,,13.6,30.0,,-26.00,+0.38,-0.08,52,52
ASCC 95,18 16 04,-25 42 35,6.15,-4.27,1500,11.87,0.32,8.04,,-111.7,38.4,,,-1.16,-1.94,48,48
Turner 2,18 17 12,-18 49 30,12.110,-1.324,1190,11.49,0.36,8.00,,-27.5,7.0,,,,,1454,1454
Trumpler 32,18 17 30,-13 21 00,17.207,1.288,1720,13.16,0.64,8.48,,38.7,5.0,,,,,1786,1786
NGC 6596,18 17 31,-16 38 59,14.30,-0.28,1100,10.67,0.15,8.60,,-5.4,20.4,,,2.94,-2.47,29,29
Dias 5,18 17 38,-19 40 12,11.65,-1.73,1760,12.25,0.33,7.14,,-53.1,14.4,,-5.25,1.92,-0.37,12,12
NGC 6604,18 18 03,-12 14 30,18.247,1.695,1696,14.15,0.970,6.810,O9,50.2,5.0,,+18.00,-0.02,-2.74,188,134
NGC 6611,18 18 48,-13 48 24,16.954,0.793,1749,13.64,0.782,6.884,O6,24.2,6.0,,+23.5,+0.07,-0.28,22189,19839
Alessi 19,18 19 04,+12 10 48,40.29,12.63,550,8.83,0.04,8.05,,120.3,90.0,,-5.10,-0.47,-6.97,187,187
NGC 6613,18 19 58,-17 06 06,14.183,-1.011,1296,11.96,0.450,7.223,B3,-22.9,5.0,,-14.0,-1.02,-1.33,222,142
